particular_1,particular_2,particular_3,particular_4,particular_5,amount_a,amount_b,amount_c,amount_d
Income,General Income Accounts,Other Income,Other Income,Other Income,-,-,-,42551202.81
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Supplies and Material Expenses,Supplies and Material Expenses,-,-,755822.2,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Land and Improvements,Land and Improvements,-,1247836.7,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Machineries and Equipment,Machineries and Equipment,-,154188,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Public Infrastructures,Public Infrastructures,-,9566332.44,10968357.14,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Subsidies and Donations,Subsidies and Donations,Subsidies and Donations,-,-,2155856.8,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Land Improvements,70972.68,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Buildings,3890809.32,-,-,9308513.17
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Office Equipment-Funiture and Fixtures,106723.74,-,-,7789900.16
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipmnet,3920120.62,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Transportation Equipment,70272.6,-,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,"Other Property, Plant and Equipment",1986586.45,-,10045485.41,23925521.55
Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,-,-,-,23925521.55
Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),-,-,-,18625681.26
