program_or_activity_1,program_or_activity_2,program_or_activity_3,program_or_activity_4,budgetary_requirement,budget_or_fund_utilized
Disaster Operations(Quick Response Activities),Disaster Operations(Quick Response Activities),Disaster Operations(Quick Response Activities),Disaster Operations(Quick Response Activities),4408746.76,-
Disaster Operations(Quick Response Activities),Cash Donations or Assistance,Cash Donations or Assistance,Cash Donations or Assistance,-,-
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,NFA Rice for Typhoon Pablo victims ,-,27000
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,"Assorted Goods (Argentina Corned Beef, Magic Sarap, Misua & others) ",-,21695
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,"Assorted Goods (El Rancho Corned Beef, 555 Tuna 155g, Wow Ulam & others)",-,7859
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Financial Assistance to LGU-Maria,-,200000
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Financial Assistance to LGU-Lazi,-,200000
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Financial Assistance to LGU-San Juan,-,200000
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Financial Assistance to LGU-Enrique Villanueva,-,300000
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Room Accommodation in Blue Wave for GMA Staff,-,1120
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,Meals and Snacks during Post-Disaster Meeting for Typhoon Pablo ,-,2530
Disaster Operations(Quick Response Activities),Financial Assistance and Other Services,Financial Assistance and Other Services,"Assorted Goods (Dragon Pansit, Young’s Town Sardines",-,52491.2
Disaster Operations(Quick Response Activities),Rehabilitation and Reconstruction,Rehabilitation and Reconstruction,"Construction Materials for Repair of Roads and Other Infrastructures in Pili, Siquijor and Salagdoong Beach Resort",-,152930
Disaster Operations(Quick Response Activities),Rehabilitation and Reconstruction,Rehabilitation and Reconstruction,Diesel used during Rehabilitation and Reconstruction Works,-,47040
Disaster Operations(Quick Response Activities),"Medical Assistance, Death and Funeral Benefits","Medical Assistance, Death and Funeral Benefits","Medical Assistance to Mr. Helbert Daniel of Canggomantong, Lazi",-,10000
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,Water Search and Rescue,700000,-
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,Honorarium for Red Cross Traners,-,18000
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,"Basic Life Support and First Aid Training on June 16-17, 2012",-,17500
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,"Water Safety Training on June 25-30, 2012",-,82500
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,Room Charges in Salagdoon during Water Safety Training,-,7900
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,BLS Trainer’s Fee,-,15000
Disaster Preparedness and Mitigation,Trainings or Meetings or Conferences,Water Search and Rescue,Motorboat Rental during Water Safety Training,-,2500
