month,division,name of project,program (nature),program (length),program (amount appropriated),program (date started),program (date finished),funding (source),funding (released),funding (spent),accomplishment (balance),accomplishment (financial),accomplishment (physical)
May,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,93.83%,95%
May,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't Fund,170000,92814.61,77185.39,54.80%,58%
May,Construction,Land Forming of New City Hospital Project,Admin,-,700000,4/1/2012,-,-,700000,94070,605930,13.44%,25%
May,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,3120000,10/10/2011,-,-,3365000,3264050,100950,97%,97%
May,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,245000,-,-,-,-,-,-,-,-
May,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,2802500,1947500,59%,58%
May,Construction,Development of Marina Project(Dredging),Admin,-,1300000,8/16/2011,-,-,1300000,1053886.37,246113.63,81%,92%
May,Construction,"Construction of Covered Court at Brgy. Center, Brgy. 6, Reclamation Project",Admin,-,2800000,9/16/2011,-,-,2800000,2795268.5,4731.5,99.80%,95%
May,Construction,Improvement of Multi-Purpose Hall,Imprv'l.,-,500000,12/5/2011,4/1/12,-,500000,498864.9,1135.1,99.77%,100%
May,Construction,"Construction of Concrrete Pavement, Install'n. of Steel Matting as Perimeter Wall and Steel Grills at Covered Court, Brgy. 6",Construction,-,350000,3/1/2012,-,-,350000,337975,12025,97%,80%
May,Construction,Dev't. of Homelot Program at Purok Dos Brgy. Guadalupe,Dev't.,-,3680000,-,-,-,3660000,3374381.87,285618.13,92%,94%
May,Construction,"Road Concreting and Line Canal at So. Maligid Proper, Brgy. Nataban",Admin,250M,2800000,9/20/2010,5/31/12,Lump Sum SB #1 CY 2010,2800000,2635939.82,164060.18,94.14%,100%
May,Construction,"Concreting of Road at So. Lupao Road (Phase II), Brgy. Quezon",Admin,500M,4750000,6/1/2011,-,20% Dev't Fund CY 2010,4750000,750402.51,3999597.49,15.80%,35.55%
May,Construction,Road Concreting (Random) along So. Albor to Purok II (Ermita Proper),Admin,1000M,3600000,8/8/2011,-,Lump Sum,3600000,1543742.04,2056257.96,42.88%,87%
May,Construction,"Construction of One(1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77M,850000,1/19/2012,-,Lump Sum CY 2011,850000,729482.8,120517.2,85.82%,90%
