month,division,name of project,program (nature),program (length),program (amount appropriated),program (date started),program (date finished),funding (source),funding (released),funding (spent),accomplishment (balance),accomplishment (financial),accomplishment (physical)
March,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,99.83%,95%
March,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't Fund,170000,92814.61,77185.39,54.60%,58%
March,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,3120000,10/12/2011,-,-,3365000,2625000,740000,78.00%,78.00%
March,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,245000,-,-,-,-,-,-,-,-
March,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,1757500,2992500,37.00%,37.00%
March,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 11.590 M),Admin,Stage I,11590000,4/5/2015,-,20% Dev't. Fund CY '01 and 20% Dev't. Fund CY '02,11590000,5188006.5,6401993.5,44.76%,42.25%
March,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Admin,100 Ln. M.,5000000,2/7/2015,-,20% Dev't. Fund CY '06 Fund CY '08,7410000,7105178.07,304821.93,95.89%,80%
March,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),2095000,-,-,-,-,-,-,-,-
March,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),315000,-,-,-,-,-,-,-,-
March,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 7.59 M),Admin,-,7590000,Oct. 2009,-,20% Dev't. Fund,7590000,1171050,6418950,15.43%,15%
March,Construction,"Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2010)",Admin,-,4000000,3/17/2011,-,20% Dev't. Fund,4000000,37455,3962545,0.94%,0.00%
March,Construction,Construction of Prosperidad Public Market,Construction,-,4891787,4/4/2011,-,Lump Sum,4891787,4600453.24,291333.76,94.04%,85%
March,Construction,"Renovation, Extension and Improvement of Nataban Brgy. Hall",Rehabilitation,-,1198175,12/19/2011,-,Lump Sum,1198175,903219.02,294955.98,75.38%,50%
March,Construction,Construction of 3 Seaters Restroom at Igmamatay Elementary School,Rehabilitation,-,256175,12/1/2011,-,Lump Sum,256175,232001.8,24173.2,90.56%,82%
March,Construction,Extension or Renovation of So. Trozo Health Center,Ext. or Ren.,-,300000,2/2/2012,-,Trust Fund,300000,89152.67,210847.33,29.72%,30%
March,Construction,Installation of 1-15 KVA Transformer at So. Habuyo and Gui-ob. Brgy. Quezon,Admin,-,473000,4/8/2011,-,-,473000,438001.49,34998.51,92.60%,96%
March,Construction,"Construction Of 4 Secondary Poles at Pres. Quezon St.and Pres. Romulo St., Brgy.2",Admin,-,122016.26,2/15/2011,3/20/12,-,122016.26,105788,16228.26,86.70%,100%
March,Construction,"Construction Of 1 Secondary Pole at Purok Kamagong Extension, Brgy. 2",Admin,-,26025.19,10/1/2011,-,-,26025.19,21768.43,4256.76,83.64%,89%
March,Construction,"Repair of Electrical Wiring Various Public School Building, Division Office",Admin,-,97000,11/8/2011,3/5/12,-,97000,96400,600,99.38%,100%
March,Construction,"Installation of Street Light at Gawad Kalinga Village, Phase 1, Brgy. Guadalupe",Admin,-,245000,12/16/2012,-,-,245000,244790.5,209.5,99.91%,100%
March,Construction,"Installation of 2 Units (20HP) Aircon Unit at Don Carlos Ledesma National Highschool (Computer Room), Brgy. Buluangan",Admin,-,150000,2/16/2012,-,-,150000,145759.12,4240.88,97.17%,99%
March,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Admin,-,2478900,5/4/2011,-,Gen. Fund CY 2010,2478900,2253884.7,225015.3,90.92%,97.00%
March,Construction,"Homelot Programs for Squatters at Villarante Village (Phase 1), Brgy. I",Admin,-,1800000,10/5/2011,3/31/12,20% Dev't. Fund CY 2011,1800000,1759090,40910,97.73%,100%
March,Construction,"Improvement of Road Shoulder with Sidewalk, Curb and Gutter at Fatima Phase 1",Admin,-,1456000,11/7/2011,-,20% Devt. Fund CY 2011,1456000,1350760.19,105239.81,92.77%,90.00%
