function_or_program_or_project,appropriation,allotment,dibursement_obligations,unobligated_balance
"Improvement or Development of  Barangey Site ( For Relocation of Inforaml Settlers and Victims of Calamaties of Pantalan, Magallanes)",400000,400000,399000,1000
"Improvement or Development of  Barangey Site ( For Relocation of Inforaml Settlers and Victims of Calamaties of Mabanate, Pilar)
",400000,400000,399640,360
"Purchase of Land ( For Relocation of Informal Settlers and Victims of Calamities of Barangay Jamorawon, Bulan)                                                                                                               ",300000,-,-,-
"Construction of Multi-Purpose Hall, Phase II of Macabari, Barcelona",1500000,1500000,1497995,2.005
"Construction of Multi-Purpose Hall in Macalaya, Castilla",500000,500000,499412,588
"Rehabilitation or Improvement of Multi-Purpose Hall in Bagong Sirang, Castilla",500000,500000,496996,3004
"Construction of Multi-Purpose Hall in Cumadcad, Castilla",1500000,"1,500,000.00",1498632,1368
"Construction of Multi-Purpose Hall in Pinamanaan, Donsol",400000,400000,398226,1774
"Construction of Multi-Purpose Hall in Tuba, Donsol",400000,400000,397986,2014
"Rehabilitation or Improvement of Multi-Purpose Hall in Tupas, Donsol",300000,300000,299384,616
"Rehabilitation or Improvement of Multi-Purpose Hall in Buroran, Donsol",300000,300000,299384,616
"Rehabilitation or Improvement of Multi-Purpose Pavement in San Antonio, Donsol",300000,300000,299065,935
"Rehabilitation or Improvement of Multi-Purpose Hall in Mapaso, Irosin",800000,800000,798000,2000
"Rehabilitation or Improvement of Multi-Purpose Hall in Bacolod, Magallanes",300000,300000,299500,500
"Construction of Multi-Purpose Hall or Evacuation Center in Tula-Tula Norte, Magallanes",500000,500000,498500,1500
"Completion of Multi-Purpose Pavement in Gadgaron, Matnog",700000,700000,686140,1386
"Completion of Multi-Purpose Hall in Banuyo, Pilar",500000,500000,497967,2033
"Construction of Multi-Purpose Hall in Pangpang, Pilar",400000,400000,398895,1105
"Construction of Multi-Purpose Pavement in Sugod Elem. Sch., Bacon Dist. Sor.",300000,300000,299866,134
"Construction of Multi-Purpose Hall in Talisay , West Dist. Sor. City",500000,500000,498347,1653
"Construction of Evacuation Center in Bitan-O, West Dist. Sor. City",750000,750000,747784,2216
"Rehab of Multi - Purpose Hall or Evacuation Center in Gimaloto, West Dist. Sor. City",500000,500000,498700,1300
"Construction of Evacuation center in Buenavista , West Dist. Sor. City",750000,750000,748300,1700
"Construction of Multi -Purpose Center in Rawis , Bacon Dist. Sor. City",500000,500000,499753,247
"Construction of Multi -Purpose Center in Osiao, Bacon  Dist. Sor. City",500000,500000,499352,648
"Installation of Solar Panel Street Lights in Bibincahan , East Dist. Sor. City",1000000,1000000,998718,1282
"Construction of Street Lights of Barangay Escuala, Casiguran",200000,200000,198791,1209
"Construction of Multi -Purpose Pavement at Buhatan Nat'l. High Sch., Buhatan East",300000,300000,298573,1427
"Rehabilitation or Improvement of Water System in Sapngan, Bulusan",300000,300000,296451,3549
"Rehabilitation of Water System in Porog, Bulusan",300000,300000,297396,2604
"Construction of Water System in Sigad, Bulan",800000,800000,797503,2497
"Improvement of Water System in San Juan Daan, Bulan",300000,300000,298361,1639
"Rehabilitation or Improvement of Water System in Sta. Cruz, Casiguran",300000,300000,296085,3915
"Rehabilitation or Improvement of Water System in Maypangi, Castilla",300000,300000,298329,1671
"Rehabilitation of Water System in Banogao, Matnog",300000,300000,295665,4335
"Improvement of Bulabog Water System, West Dist. Sor. City",500000,500000,499383,617
"Rehabilitation of Water System in Ticol, West, Dist. Sor. City",700000,700000,699024,976
"Rehabilitation or Improvement of Water Impounding Facilities at Sto. Domingo, Bacon Dist.",200000,200000,199124,876
"Completion of Buenavista Water System, Bacon District. Sor. City",500000,500000,496885,3115
"Rehabilitation of Irrigation Canal at Capuy, West Dist. Sor. City",750000,750000,748500,1500
"Rehabilitation of Irrigation Canal at Basud and Gimaloto, West Dist. Sor. City",300000,300000,299350,650
Mangrove Reforestation Projects,400000,400000,-,400000
Agro Forestry Projects,400000,400000,153420,246580
Construction of Composting Facilities and Green House,500000,500000,498750,1250
"Construction of Health Care Waste Treatment Facility, Phase II",1000000,-,-,-
Clean and Green Project (Purchase of Equipment),1000000,955000,912400,42600
"Concreting of Cagang- San Antonio Road, Barcelona",2000000,2000000,1992100,7900
"Concreting of Barangay Road in A. Bonifacio, Bulan",850000,850000,846541,3459
"Concreting of Bulabog Pathway, West Dist. Sor. City",200000,200000,198711,1289
"Construction of Brgy. Road of G.K. Village , Guinlajon,West District., Sor. City",250000,250000,249050,950
Concreting of Sta. Remedios Road,850000,850000,845281,4719
"Concreting of Access Road from Executive Village to Purok 4, West District. Sor. City",1000000,1000000,997765,2235
"Construction of Pathway at Basud, West Dist. Sor. City",200000,200000,198711,1289
