trader_name,address,telephone_number,region,officer,e-mail_address
A. Chan Sugar Corporation,"6/F Legaspi Tower 200, Paseo de Roxas, Makati City",(02)817-15-51,NCR (National Capital Region),Jose Mari Chan,dydeguzman@yahoo.com
Adlerberg Industrial Corporation,"2J Blue Sapphire Residences, 30th St., cor.2nd Ave.,BGC, Taguig City",(02)856-71-82,NCR (National Capital Region),Pablo Lorenzo Iii,gps@adlerberg.com.ph
"All Asian Countertrade, Inc.","Rm. 504 National Life Insurance Bldg., 6762 Ayala Ave., Makati City",(02)651-57-00,NCR (National Capital Region),Elvi Manuel Bayle,brian.abanto@aaci.ph
"Biscom, Inc.","6/F Legaspi Tower 200, Paseo de Roxas, Makati City",(02)817-15-51,NCR (National Capital Region),Jose Mari Chan,biscom@pldtdsl.net
"Central Azucarera De Bais, Inc.","5/F Legaspi Tower 200, Paseo De Roxas, Makati City","(02)892-74-71, 813-59-62",NCR (National Capital Region),Antonio Steven Chan,-
"Central Azucarera De La Carlota, Inc.","Brgy. RSB, La Carlota City, Negros Occidental",(034)460-28-25,NCR (National Capital Region),Eduardo Concepcion,caci_isd@yahoo.com
"Central Azucarera De San Antonio, Inc.","5/F Legaspi Tower 200, Paseo De Roxas, Makati City",(02)892-74-71,NCR (National Capital Region),Antonio Steven Chan,casa_site@yahoo.com
"Central Azucarera Don Pedro, Inc.","6/F CG Bldg., 101 Aguirre St., Legaspi Vill., Makati City",(02)810-89-01,NCR (National Capital Region),Renato Valencia,sales@cadp.com.ph
Commodity Carriers and Shipping Corp.,"San Pedro West, Rosales, Pangasinan",(075)632-76-37,I (Ilocos Region),Richard Sandoval,richard.sandoval@yahoo.com
Delmax Trading Corp.,"Unit 508 Chinatown Steel Tower, 531 A. Asuncion St., Binondo, Manila",(02)245-23-11,NCR (National Capital Region),Rodolfo Delos Reyes,rudy@delmax.ph
"E D and F Man Phils.,  Inc.","Unit 37D, 37/F Rufino Tower,  6784 Ayala Ave., Makati  City",(02)811-10-91,NCR (National Capital Region),Raul  Gamban,elaine.david@mansugarph.com
Inter-Asia Services Corp. (International),"Unit C 17/F Petron Mega Plaza Bldg.,358 G.Puyat Ave.,Bel-Air, Makati",(02)817-83-59,NCR (National Capital Region),Lydia Reyes,intrasia@pldtdsl.net
"Jsy Countertrading, Inc.","North Poblacion, La Libertad, Negros Oriental",(034)444-22-23,VII (Central Visayas),Michael Escaler,elvi_bayle@aaci.ph
La Perla Sugar Export Corp.,"19/F Citibank Tower, 8741 Paseo de Roxas, Makati City","(02)848-11-02/05, 848-12-21",NCR (National Capital Region),William Chang,mccwkc@yahoo.com.ph
"Macondray  Philippines  Co., Inc."," 2263 Pasong Tamo Ext., Makati City",(02)812-06-51,NCR (National Capital Region),Martin Lorenzo,gtg@macondray.com
Organic Producers In The Island Of Negros Mpc,"Bo. Palanas, Brgy., Poblacion 2, Sagay City",(034)476-55-30,VII (Central Visayas),-,-
"Oro Allado Commodities, Inc.","Aguirre Bldg., Yunque St., La Carlota City",(034)434-76-07,VII (Central Visayas),Ma. Soledad Chua,-
"Sagay Central, Inc","Brgy. Bato, Sagay City",(034)433-38-74,VII (Central Visayas),Romie Cortez,-
"San Fernando Eric Commercial, Inc.","Hyatt Garden Bldg., Dolores, San Fernando, Pampanga",(045)961-66-47,III (Central Luzon),Alexander Keyeng,alex_kehyeng@yahoo.com
"Sucden Philippines, Incorporated","Rm. 2506 Orient Square Bldg.,  Don F. Ortigas Jr. Road, Pasig City",(02)910-57-00,NCR (National Capital Region),Wilfredo D. Alvarado,rariola@sucdenphilippines.com
Sweet Crystals Integrated Sugar Mill Corp.,"Brgy. Planas, Porac, Pampanga",(045)455-18-21,III (Central Luzon),Jose Antonio Mu–oz,pepe.mu–oz@sweetcrystals.ph
Universal Robina Corporation,"Rm. 2201, RET, ADB Ave., cor. Poveda Sts., Ortigas Center, Pasig City",(02)637-53-98,NCR (National Capital Region),Lance Gokongwei,Ruel.Narvaez@urc.com.ph
