object_of_expenditures_1,object_of_expenditures_2,object_of_expenditures_3,account_code,past_year_2011,current_year_june_30_2012
Current Operating Expenditures,Personal Service,Salaries and Wages- Regular,-,-,-
Current Operating Expenditures,Personal Service,Salaries and Wages- Others,-,-,-
Current Operating Expenditures,Maintenance and other Operating Expenses,Maintenance and other Operating Expenses,-,66325017.44,92069618.26
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to National Government Agencies,-,-,5649999.98
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to LGU's,-,-,15278347
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to Other Funds- Loans,-,-,71101271.28
Capital Outlay,Capital Outlay,Capital Outlay,-,168935981.3,4336509.2
Capital Outlay,Capital Outlay,Buildings and Other Structures,-,-,-
Capital Outlay,Capital Outlay,Office Equipment,-,-,-
Capital Outlay,Capital Outlay,Motor Vehicles and Other,-,-,-
Capital Outlay,Capital Outlay,Transportation Equipment,-,-,-
Capital Outlay,Capital Outlay,Land,-,-,175000
Capital Outlay,Capital Outlay,"Taxes, Duties and Licenses",-,-,7436.68
Capital Outlay,Capital Outlay,Agricultural Supplies,-,-,1733416
Capital Outlay,Capital Outlay,Repair and Maintenance Structures,-,-,806000
Capital Outlay,Capital Outlay,Other Public Infastructure,-,-,1614656.52
Financial Expenses,Financial Expenses,Financial Expenses,-,-,-
Total Appropriations,Total Appropriations,Total Appropriations,-,235260998.8,96366127.46
