object_of_expenditures_1,object_of_expenditures_2,object_of_expenditures_3,account_code,past_year_2011,current_year_september_30_2012
Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-
Current Operating Expenditures,Personal Service,Salaries and Wages-Others,-,-,-
Current Operating Expenditures,Maintenance and other Operating Expenses,Maintenance and other Operating Expenses,-,66325017.44,130830028.3
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to National Government Agencies,-,-,5649999.98
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to LGU's,-,-,17557490.5
Current Operating Expenditures,Maintenance and other Operating Expenses,Subsidy to Other Funds- Loans,-,-,101107071.8
Current Operating Expenditures,Maintenance and other Operating Expenses,"Taxes, Duties, and Licenses",-,-,17381.61
Current Operating Expenditures,Maintenance and other Operating Expenses,Agricultural Supplies,-,-,1733416
Current Operating Expenditures,Maintenance and other Operating Expenses,Repair and Maintenance Other Structures,-,-,806000
Current Operating Expenditures,Maintenance and other Operating Expenses,"Repair and Maintenance- Roads, Highways and Bridges",-,-,12868668.4
Capital Outlay,Capital Outlay,Capital Outlay,-,168935981.3,54564025.88
Capital Outlay,Capital Outlay,Buildings and Other Structures,-,-,-
Capital Outlay,Capital Outlay,Office Equipment,-,-,-
Capital Outlay,Capital Outlay,Motor Vehicles and Other,-,-,-
Capital Outlay,Capital Outlay,Transportation Equipment,-,-,-
Capital Outlay,Capital Outlay,Land,-,-,175000
Capital Outlay,Capital Outlay,Land Improvements,-,-,999830.05
Capital Outlay,Capital Outlay,Other Public Infastructure,-,-,3051335.7
Capital Outlay,Capital Outlay,"Public Infa-Road, Highways and Bridges",-,-,50337860.13
Financial Expenses,Financial Expenses,Financial Expenses,-,-,-
Total Appropriations,Total Appropriations,Total Appropriations,-,235260998.8,194394054.2
