particulars_1,particulars_2,particulars_3,mooe,co,total
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,-,-,24426130.19
Calamity Fund,Calamity Fund,Calamity Fund,-,-,24426130.19
Less: Disbursements,Pre-Disaster Preparedness Program,"Hon. Of Speakers Feb. 21, 26 annd March 7,2013",10000,-,10000
Less: Disbursements,Pre-Disaster Preparedness Program,"Meals served during the training 2/7,26 and 3/7",196000,-,196000
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of Rice,269560,-,269560
Less: Disbursements,Pre-Disaster Preparedness Program,"Cons. Materials Line canal, Perimeter Fence",-,402829.75,402829.75
Less: Disbursements,Pre-Disaster Preparedness Program,Cons. Mat. Open line canal and River Control,-,242051.5,242051.5
Less: Disbursements,Pre-Disaster Preparedness Program,Office Supplies for Training of CDRRMO,8996.5,-,8996.5
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of 1 Hectare of Land at Brgy Bato Bacon District Sorsogon City,-,250000,250000
Less: Disbursements,Pre-Disaster Preparedness Program,CCTV System at City Abatoir,-,267100,267100
Less: Disbursements,Pre-Disaster Preparedness Program,Tarpuline for Caricaran Core Shelter,1210,-,1210
Less: Disbursements,Pre-Disaster Preparedness Program,Certification Fees for caricaran Core Shelter,1700,-,1700
Less: Disbursements,Pre-Disaster Preparedness Program,"Documentation and Relocation, Subdivision Survey and lot Monumenting at Sto Niño Bacon",176000,-,176000
Less: Disbursements,Pre-Disaster Preparedness Program,Construction of Slope protection at City Hall Compound,-,7906659.31,7906659.31
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Box Culbert at Brgy. Bogña Bacon District with SP Resolution # 096,-,162900,162900
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Open Lined canal at Pio Jebulan High School Brgy. San Isidro West District,-,105750,105750
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for River Control at Brgy. Capuy,-,71600,71600
Less: Disbursements,Pre-Disaster Preparedness Program,600 bags of seed for distribution,300000,-,300000
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Open Lined Canal at Brgy. Bucalbucalan West District,-,43000,43000
Less: Disbursements,Post Disaster Programs,Post Disaster Programs,-,-,-
Less: Disbursements,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-,-
Balance,Balance,Balance,-,-,14010773.13
