particulars,object_of_expenditures,mooe,co,total
Estimated revenue From Regular Resources,-,-,-,-
Calamity Fund,-,-,-,-
Less: Disbursements- Pre- Disaster Preparedness Programs,Snacks serve during the Bi-monthly meeting or valuation conference on City or Municipal Disaster Risk Management Reduction,17500,-,17500
Less: Disbursements- Pre- Disaster Preparedness Programs,Josie Jadie trainings and seminar,21115,-,21115
Less: Disbursements- Pre- Disaster Preparedness Programs,Robertson Intl. payment for grocery items (buffer stocks for victims of Disaster),394620,-,394620
Less: Disbursements- Pre- Disaster Preparedness Programs,RMH construction supply payment for the construction of R C drainage canal at various streets of Pangpang,-,2865677.74,2865677.74
Less: Disbursements- Pre- Disaster Preparedness Programs,Payment for supplies delivered to City Disaster Risk Reduction Management Office (CDRRMO),847200,-,847200
Less: Disbursements- Pre- Disaster Preparedness Programs,"Payment for construction of materials of CHB line canal for the rehabilitation of flood control system at Basud Poblacion, Bacon",-,132229,132229
Less: Disbursements- Pre- Disaster Preparedness Programs,"Payment for labor for construction of CHB line canal for the rehabilitation of flood control system at Basud Poblacion, Bacon",-,67771,67771
Less: Disbursements- Pre- Disaster Preparedness Programs,Repair and maintenance of various service vehicles for the Disaster preparedness,117634,-,117634
Less: Disbursements- Pre- Disaster Preparedness Programs,Jinky Aquino training on mainstreaming Disaster Risk Reduction and Climate Change Adaptation in Brgy. contingency planning and budgeting,5520,-,5520
Less: Disbursements- Pre- Disaster Preparedness Programs,CL trading payment for the purchase of spareparts for the repair of various transportation vehicle and equipment,125012.16,-,125012.16
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the rehabilitation of river control at Brgy. Bulabog, West District, Sorsogon City",-,147028.05,147028.05
Less: Disbursements- Post Disaster Programs,"Payment for the materials for the rehabilitation of river control at Brgy. Bulabog, West District",-,352971.95,352971.95
Less: Disbursements- Post Disaster Programs,Payment for the purchase of spareparts for the maintenance of transportation equipment,368795,-,368795
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the construction of 17 ln. m. river control at Sitio Macawayan, Brgy. Gatbo, Bacon, Sorsogon City",-,135510.5,135510.5
Less: Disbursements- Post Disaster Programs,"Payment of the materials for the construction of 17 ln. m. river control at Sitio Macawayan, Brgy. Gatbo, Bacon, Sorsogon City",-,364489.5,364489.5
Less: Disbursements- Post Disaster Programs,"Payment of the materials on the construction of culbert for flood control system at Brgy. Bonga, Bacon District",-,354605,354605
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the construction of culbert for flood control system at Brgy. Bonga, Bacon District",-,162911.75,162911.75
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the rehabilitation of river control at Sitio Ilawod, Brgy. Piot, West District",-,45083.69,45083.69
Less: Disbursements- Post Disaster Programs,"Payment for the materials for the rehabilitation of river control at Sitio Ilawod, Brgy. Piot, West District",-,104810.55,104810.55
Less: Disbursements- Post Disaster Programs,"Payment for the materials for the construction of RCPC drainage at Brgy. Poblacion, Bacon District",-,287556.84,287556.84
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the construction of RCPC drainage at Brgy Poblacion, Bacon District",-,139044.89,139044.89
Less: Disbursements- Post Disaster Programs,"Payment for the construction materials for the extension of river control at Purok 3, Brgy. Balogo, East District",-,359848.95,359848.95
Less: Disbursements- Post Disaster Programs,"Payment for the labor for the extension of river control at Purok 3, Brgy. Balogo, East District",-,140151.05,140151.05
Grand Total,-,-,-,7557086.62
Balance,-,-,-,16442913.38
