particulars_1,particulars_2,particulars_3,mooe,co,total
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,-,-,24426130.19
Calamity Fund,Calamity Fund,Calamity Fund,-,-,24426130.19
Less: Disbursements,Pre-Disaster Preparedness Program,"Hon. Of Speakers Feb. 21, 26 annd March 7,2013",10000,-,10000
Less: Disbursements,Pre-Disaster Preparedness Program,"Meals served during the training 2/7,26 and 3/7",196000,-,196000
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of Rice,269560,-,269560
Less: Disbursements,Pre-Disaster Preparedness Program,"Const. Materials Line canal, Perimeter Fence",-,402829.75,402829.75
Less: Disbursements,Pre-Disaster Preparedness Program,Cons. Mat'ls. Open line canal and River Control,-,242051.5,242051.5
Less: Disbursements,Pre-Disaster Preparedness Program,Office Supplies for Training of CDRRMO,8996.5,-,8996.5
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of one (1) hectare of land at Brgy Bato Bacon District Sorsogon City,-,250000,250000
Less: Disbursements,Pre-Disaster Preparedness Program,CCTV System at City Abatoir,-,267100,267100
Less: Disbursements,Pre-Disaster Preparedness Program,Tarpuline for Caricaran Core Shelter,1210,-,1210
Less: Disbursements,Pre-Disaster Preparedness Program,Certification fees for Caricaran Core Shelter,1700,-,1700
Less: Disbursements,Pre-Disaster Preparedness Program,"Documentation and Relocation, Subdivision Survey and lot Monumenting at Sto Niño Bacon",176000,-,176000
Less: Disbursements,Pre-Disaster Preparedness Program,Construction of Slope Protection at City Hall Compound,-,7906659.31,7906659.31
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Box Culbert at Brgy. Bogña Bacon District with SP Resolution # 096,-,162900,162900
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Open Lined canal at Pio Jebulan High School Brgy. San Isidro West District,-,105750,105750
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for River Control at Brgy. Capuy,-,71600,71600
Less: Disbursements,Pre-Disaster Preparedness Program,600 bags of seed for distribution,300000,-,300000
Less: Disbursements,Pre-Disaster Preparedness Program,Labor for Open Lined Canal at Brgy. Bucalbucalan West District,-,43000,43000
Less: Disbursements,Pre-Disaster Preparedness Program,"Materials for Open lined canal at Sampaguita Village, Brgy. Piot, West Dist., Sorsogon City",56515.9,-,56515.9
Less: Disbursements,Pre-Disaster Preparedness Program,"Labor payroll for Open lined canal at Sampaguita Village, Brgy. Piot, West Dist., Sorsogon City",22000,-,22000
Less: Disbursements,Pre-Disaster Preparedness Program,"Purchase of Const. mat'ls. Use in the Rehab. Of Water System at the boundaries of Brgy. Sto. Domingo and San Juan, Bacon Dist., Sor. City","63,820",-,"63,820"
Less: Disbursements,Pre-Disaster Preparedness Program,"Pay. Labor cost for the Rehab of Bacon Water System at Brgy. Boundaries of Sto. Domingo and San Juan, Bacon Dist., Sor. City","24,800",-,"24,800"
Less: Disbursements,Pre-Disaster Preparedness Program,"Cash Advance the amount of PHP 30,000.00 to defray Miscellaneous expenses during the calamity","30,000",-,"30,000"
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of various mat'ls. for use in pre-disaster preparedness inpreparation for typhoon,"586,950",-,"586,950"
Less: Disbursements,Pre-Disaster Preparedness Program,SOO Sacks of NFA Rice for use at the CMO in support of the Pre-Disaster Preparedness Program of Sorsogon City,"625,000",-,"625,000"
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of assorted reliefgoods to be disturbed to the different barangays during the calamity,"873,420",-,"873,420"
Less: Disbursements,Pre-Disaster Preparedness Program,Purchase of Power Tools or Equipment used by the City Engineer's Office at Sorsogon City,-,"120,000","120,000"
Less: Disbursements,Pre-Disaster Preparedness Program,Various office Supplies for use at the CDRRMO City Disaster Risk Reduction Management Council Meeting Program,"39,000",-,"39,000"
Less: Disbursements,Pre-Disaster Preparedness Program,Term Insurance of contractual employees of Sorsogon City,"13,872",-,"13,872"
Less: Disbursements,Post Disaster Programs,Post Disaster Programs,-,-,-
Less: Disbursements,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-,-
Balance,Balance,Balance,-,-,"11,555,395.23"
