particulars_1,particulars_2,appropriation,supplemental_budget_number_1,supplemental_budget_number_2,supplemental_budget_number_3,realignment,declaration_of_savings,total_appropriation,expenses_in_1st_quarter,expenses_in_2nd_quarter,expenses_in_3rd_quarter,expenses_in_4th_quarter,total,balance
IRA,-,335000000,58148412,-,-,-,-,335000000,-,-,-,-,335000000,335000000
20% Development Fund,-,67000000,11629682.4,-,-,-,-,-,-,-,-,-,-,-
Office of the City Mayor,Land Banking,2000000,-,-,-,-,-,2000000,-,-,-,-,0,2000000
Office of the City Mayor,Site Development (Resettlement Area),1000000,-,-,-,-,-,1000000,-,-,67867,-,67867,932133
Office of the City Mayor,Gawad Kalinga Program,1000000,-,-,-,-,-,1000000,-,835899,-,-,835899,164101
Office of the City Mayor,Livelihood Project,1000000,-,-,-,-,-,1000000,-,-,630000,-,630000,370000
Office of the City Planning and Development Office,DIDP Equity,970000,-,260000,-,-,-,1230000,1230000,-,-,-,1230000,0
Office of the City Planning and Development Office,MRDP Project Maintenance (FMR and PWS),300000,-,-,-,-,-,300000,-,-,-,-,0,300000
Office of the City Planning and Development Office,DIDP Project Maintenance,300000,-,-,-,-,-,300000,-,-,-,-,0,300000
Office of the City Planning and Development Office,MRDP Equity (Construction of Potable Water System),-,-,410000,-,-,-,410000,-,-,-,-,0,410000
Office of the City Planning and Development Office,Support to Mabunao Water system,-,-,100000,-,-,-,100000,-,-,-,-,0,100000
Office of the City Planning and Development Office,PC water system geo resistivity,-,-,333682.4,-,-,-,333682.4,-,80940,33000,-,113940,219742.4
Office of the City Environment and Natural Resources,Dumpsite Development,1000000,-,-,-,-,-,1000000,-,-,649400.12,-,649400.12,350599.88
Office of the City Engineer,Rural Urban Electrification,1000000,-,-,-,-,-,1000000,847687.33,107371.73,-,-,955059.06,44940.94
Office of the City Engineer,Construction Brgy. Health Center - Kauswagan,500000,-,-,-,-,-,500000,-,-,480553.29,-,480553.29,19446.71
Office of the City Engineer,Construction Brgy. Health Center - Gredu,500000,-,-,-,-,500000,0,-,-,-,-,0,0
Office of the City Engineer,Completion Brgy. Multi Purpose Building - New Pandan,1000000,-,-,-,-,-,1000000,-,-,-,-,0,1000000
Office of the City Engineer,Completion Brgy. Multi Purpose Building - Dapco,600000,-,-,-,-,-,600000,-,-,-,-,0,600000
Office of the City Engineer,INFRES Project Operation and Maintenance,900000,-,-,-,-,-,900000,-,429983.89,-,-,429983.89,470016.11
Office of the City Engineer,Construction Diversion Road - J.P. Laurel,2000000,-,-,-,-,2000000,0,-,-,-,-,0,0
Office of the City Engineer,Construction Coastal Road ( Road Widening),2000000,-,-,-,-,-,2000000,-,-,-,-,0,2000000
Office of the City Engineer,Concreting of of Manay Road - Phase III,2000000,-,-,-,-,-,2000000,-,1909899.23,32710.19,-,1942609.42,57390.58
Office of the City Engineer,Construction of Causeway for the Tourism,3000000,-,-,-,-,3000000,0,-,-,-,-,0,0
Office of the City Engineer,Concreting of Pedestrian or Biscycle or Tricycle,2000000,-,-,-,-,-,2000000,-,1900320.15,5970,-,1906290.15,93709.85
Office of the City Engineer,Concreting of Cemetery Road - Proposed PC Eternal Garden,2000000,-,-,-,-,-,2000000,1976953.91,18724.32,-,-,1995678.23,4321.77
Office of the City Engineer,Concreting of Quezon St. Main Road (Phase 2),3000000,-,-,-,-,-,3000000,2931571.8,50479.77,10718.87,-,2992770.44,7229.56
Office of the City Engineer,Concreting of Lauron St. from Cabaluna Road,3000000,-,-,-,-,-,3000000,2945739.65,-,29666,-,2975405.65,24594.35
Office of the City Engineer,Concreting of City Road (Along Sto. Nino Brgy. Hall),2000000,-,-,-,-,1710000,290000,-,261938.03,-,-,261938.03,28061.97
Office of the City Engineer,Concreting of of Road from Gambriel to Quezon,2000000,-,-,-,-,-,2000000,1952091.51,33697.49,6108.09,-,1991897.09,8102.91
Office of the City Engineer,Concreting of of Salvacion Brgy. Road,2000000,-,-,-,-,-,2000000,1889439.97,41495.36,8572.76,-,1939508.09,60491.91
Office of the City Engineer,Concreting of of Narra St. (From Yambao Res),2000000,-,-,-,-,-,2000000,1839482.23,68324.82,6976.01,-,1914783.06,85216.94
Office of the City Engineer,Concreting of JP Laurel Road from national Highway,3000000,-,-,-,-,-,3000000,2789778.6,-,54014.49,-,2843793.09,156206.91
Office of the City Engineer,Concreting of San Isidro Road - Crystal Plains,2000000,-,-,-,-,-,2000000,-,1879365.19,-,-,1879365.19,120634.81
Office of the City Engineer,Construction of Kauswagan Brgy. Roads,1000000,-,-,-,-,-,1000000,-,-,941742.6,-,941742.6,58257.4
Office of the City Engineer,Concreting of of San Vicente Road (Construction),2000000,-,-,-,-,-,2000000,-,1836081.12,51975.3,-,1888056.42,111943.58
