particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources , total 
Sources of Funds,Current Appropriations,15327105.6,35763246.4,-,-,-,51090352
Sources of Funds,Continuing Aprropriations,-,"5,720,938,52",-,75000,-,5795938.52
Sources of Funds,Previous Year's Appropriations transferred to Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,15327105.6,41484184.92,-,75000,-,56886291
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies ,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,2000,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment ,-,-,-,-,-,-
Utilization,Transfers to other LGUs/NGAs,-,-,-,-,-,-
Utilization,Other Purposes,-,-,-,-,-,-
Utilization,Total Utilization,-,2000,-,-,-,-
Unutilized Balance,Unutilized Balance,15327105.6,41482184.92,-,75000,-,56884290.52
