particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_source,total
Sources of Funds,Current Appropriation,19167849.6,447249882.4,-,-,-,63892832
Sources of Funds,Continuing Appropriation,-,8373345,-,-,-,8373345
Sources of Funds,Previous Years' Appropriation Transferred to the Special Trust Fund,-,75352285.71,-,-,-,75352285.71
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Fund Available,16167849.6,128450613.1,-,-,-,147618462.7
Utilization,Training Expense,-,419400,-,-,-,419400
Utilization,Printing and Binding Exp.,-,333696,-,-,-,333696
Utilization,Other MOOE,-,9960,-,-,-,9960
Utilization,Total Utilization,-,343656,-,-,-,343656
Utilization,Unutilized Balance,19167849.6,128106957.1,-,-,-,147274806.7
