particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_source,total
Sources of Funds,Current Appropriation,19167849.6,44724982.4,-,-,-,63892832
Sources of Funds,Continuing Appropriation,-,8373345,-,-,-,8373345
Sources of Funds,Previous Years Appropriation Transferred to the Special Trust Fund,-,75352285.71,-,-,-,75352285.71
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Fund Available,19167849.6,128450613.1,-,-,-,147618462.7
Utilization,Training Expense,-,804697.88,-,-,-,804697.88
Utilization,Drug and Medicine Supp. Ep.,-,468000,-,-,-,468000
Utilization,Printing and Binding Exp.,-,333696,-,-,-,333696
Utilization,Other MOOE,-,9960,-,-,-,9960
Utilization,Capital Outlay,-,-,-,-,-,-
Utilization,Const. and Heavey Equipment,-,10100000,-,-,-,10100000
Utilization,Total Utilization,-,11716353.88,-,-,-,11716353.88
Utilization,Unutilized Balance,19167849.6,116734259.2,-,-,-,135902108.8
