particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,19010125.25,44356958,-,-,-,63367083.45
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Years Appropriations Transferred to the Special Trust Fund,-,57993491.72,-,-,-,57993491.72
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Fund Available,19010125.45,102350449.7,-,-,-,121360575.2
Utilization,Training Expense,-,920500,-,-,-,920500
Utilization,Drug and Medicine Supplies,-,-,-,-,-,-
Utilization,Med. Dental Lab Supp,-,134610,-,-,-,134610
Utilization,Other Supplies Expenses,-,33930,-,-,-,33930
Utilization,Total Utilization,-,1089040,-,-,-,10890040
Utilization,Unutilized Balance,19010125.45,101261409.7,-,-,-,120271535.2
