lrt_line,incident,type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LRT Line 1,Train Collision,Cases,0,0,0,0,0,0,1,1,0,0,0
LRT Line 1,Train Collision,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Train Collision,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Derailment,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Derailment,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Derailment,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Rail Crossing,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Rail Crossing,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Rail Crossing,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Corporal Accident,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Corporal Accident,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Corporal Accident,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Suicide Intent,Cases,1,4,1,1,0,1,0,1,2,2,1
LRT Line 1,Suicide Intent,Fatalities,1,1,0,0,0,0,0,0,0,0,0
LRT Line 1,Suicide Intent,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Dragging,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Dragging,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Dragging,Injuries,1,0,0,1,2,2,0,0,1,1,0
LRT Line 1,Door Pinning,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Door Pinning,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 1,Door Pinning,Injuries,18,23,36,19,29,21,24,39,25,9,15
LRT Line 2,Train Collision,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Train Collision,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Train Collision,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Derailment,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Derailment,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Derailment,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Rail Crossing,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Rail Crossing,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Rail Crossing,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Corporal Accident,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Corporal Accident,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Corporal Accident,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Suicide Intent,Cases,0,0,0,0,0,0,0,1,0,0,0
LRT Line 2,Suicide Intent,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Suicide Intent,Injuries,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Door Pinning,Cases,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Door Pinning,Fatalities,0,0,0,0,0,0,0,0,0,0,0
LRT Line 2,Door Pinning,Injuries,0,0,0,49,66,95,40,25,21,7,18
