partiulars_1,partiulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,22277721.78,51981350.82,-,-,-,74259072.6
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Prior Years Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfer or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,22277721.78,51981350.82,-,-,-,74259072.6
Utilization,Travel or Trainings- Rowena San Jose- Cash Advance Travel for Relief Operations in Caramoan and Garchitorena,-,128890,-,-,-,128890
Utilization,Office Supplies,-,-,-,-,-,-
Utilization,Food Supplies- NFA rice,-,3249000,-,-,-,3249000
Utilization,Drug and Medicine ,-,-,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants",-,666657.58,-,-,-,666657.58
Utilization,"Other Supplies- Plastic bags tarpauline (El Verde anniversary), rooting hormones to propogate bamboo and forestry seedlings",-,-,-,-,-,-
Utilization,Repair and Maintenance of Fire Truck,-,83372,-,-,-,83372
Utilization,Equipments- Hurriccane dumptruck and wheel loader,-,35909989.58,-,-,-,35909989
Utilization,Total Utilization,-,40037908.58,-,-,-,40037908.58
Utilization,Unutilized Balance,22277721.78,11943442.24,-,-,-,34221164.02
