particulars_1,particulars_2,ldrrmf_quick_response_fund_(qrf)_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,22636517.22,52818540.18,-,-,-,75455057.4
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Prior Years Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Tranfer or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,22636517.22,52818540.18,-,-,-,75455057.4
Utilization,"Travel Trainings- Manuel Jonales, et al ",-,80460,-,-,-,80460
Utilization,Travel Trainings- Edgar Cabilla et. Al,-,81420,-,-,-,81420
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies- NFA Rice,-,28750000,-,-,-,28750000
Utilization,"Gasoline, Oil and Lubricants",-,506760,-,-,-,506760
Utilization,Total Utilization,-,29418640,-,-,-,29418640
Utilization,Unutilized Balance,22636517.22,23399900.18,-,-,-,46036417.4
