partiulars_1,partiulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,22277721.78,51981350.82,-,-,-,74259072.6
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Prior Years Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfer or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,22277721.78,51981350.82,-,-,-,74259072.6
Utilization,Travel or Trainings- Rowena San Jose- Cash Advance Travel for Relief Operations in Caramoan and Garchitorena,-,128890,-,-,-,128890
Utilization,Office Supplies,-,2499000,-,-,-,2499000
Utilization,Drug and Medicine ,-,-,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants",-,666657.58,-,-,-,666657.58
Utilization,Other Supplies,-,-,-,-,-,-
Utilization,Repair and Maintenance of Fire Truck,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Total Utilization,-,3294547.58,-,-,-,3294547.58
Utilization,Unutilized Balance,22277721.78,48686803.24,-,-,-,70964525.02
