particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"7,739,838","2,689,130","21,209,370","604,179","38,931,478","10,158,284","248,561","56,838,330","8,382,838","9,107,967","2,955,827","752,954","442,417","15,583,781","292,958","27,693,176","1,142,498","553,027","1,725,186","9,860","247,018","751,616","2,871,220","44,626","71,216","211,047,355"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"847,827","113,309","51,208",405,"176,411","162,754","27,284","2,700","116,290","17,220","172,689",0,0,"7,917",0,"3,183,555","17,255","4,572","105,289","4,777","25,733",0,"4,569",0,0,"5,041,764"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"227,254","13,028","4,212",0,"29,757","135,792",0,0,"45,793","2,048","77,148",0,0,"1,301",0,"805,737","1,508",847,"85,319",0,"22,199",0,864,0,0,"1,452,807"
               Senate Electoral Tribunal,"1,435","1,203",157,123,"2,402","1,706",0,0,"3,150",473,"2,741",0,0,"1,151",0,"44,523",0,0,524,0,268,0,0,0,0,"59,856"
          Commission on Appointments,802,"2,019",410,0,"2,974","21,628",0,0,796,145,"8,771",0,0,368,0,"237,500",61,413,"12,965",0,125,0,0,0,0,"288,977"
          House of Representatives,"618,102","96,060","45,555",185,"139,574",0,0,"2,700","63,800","13,796","81,196",0,0,"4,905",0,"2,090,748","15,213","3,000","5,620",0,"3,085",0,"3,705",0,0,"3,187,244"
               House Electoral Tribunal,234,999,874,97,"1,704","3,628","27,284",0,"2,751",758,"2,833",0,0,192,0,"5,047",473,312,861,"4,777",56,0,0,0,0,"52,880"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"175,206","18,571","179,408","1,856","107,448","18,736",0,"104,877","118,686","9,195","12,143","400,000",0,"12,241",0,"163,210","3,392","2,016","49,966",0,"1,730",0,0,0,0,"1,378,681"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"175,206","18,571","179,408","1,856","107,448","18,736",0,"104,877","118,686","9,195","12,143","400,000",0,"12,241",0,"163,210","3,392","2,016","49,966",0,"1,730",0,0,0,0,"1,378,681"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"9,140","3,766","1,656",0,"5,554","8,939",0,"86,627","2,877",504,345,"6,000",0,198,0,"12,911",0,0,"18,901",0,329,0,0,0,0,"157,747"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"432,320","72,708","141,898","6,473","390,717","132,776",10,"1,272,281","109,551","257,608","8,551",0,0,"295,231",0,"991,307","16,022","37,661","45,327",230,"3,269","450,274",128,0,0,"4,664,342"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"432,320","72,708","141,898","6,473","390,717","132,776",10,"1,272,281","109,551","257,608","8,551",0,0,"295,231",0,"991,307","16,022","37,661","45,327",230,"3,269","450,274",128,0,0,"4,664,342"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"640,662","130,219","354,460","13,398","2,564,508","135,555","13,158","3,802,161","258,207","899,362","12,847",0,0,"56,348",0,"2,378,935","39,528","30,696","55,583","2,612","7,546","1,244","2,462","4,087",748,"11,404,326"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"391,208","84,109","265,490","8,196","1,756,407","87,643",312,"3,302,941","145,473","624,145","6,865",0,0,"31,734",0,"1,631,358","22,544","26,641","45,135","2,602","5,718","1,244",560,"3,801",576,"8,444,702"
          Agricultural Credit Policy Council,615,"1,127",394,0,893,"1,114",0,0,"1,786",575,110,0,0,100,0,"1,316",44,0,407,0,78,0,0,0,0,"8,559"
          Bureau of Fisheries and Aquatic Resources,"171,803","29,088","57,740","4,184","662,273","33,421","12,693",0,"73,540","147,577","1,763",0,0,"18,280",0,"606,109","6,993","2,604","4,051",10,"1,043",0,80,286,0,"1,833,538"
          Cotton Development Administration,596,520,"1,171",46,"2,174",161,0,0,508,319,222,0,0,130,0,"2,458",69,35,204,0,19,0,25,0,0,"8,657"
          Fertilizer and Pesticide Authority,"4,297","1,272","2,088",11,"5,947",118,0,0,"3,261",327,110,0,0,626,0,"2,739",521,10,211,0,64,0,0,0,0,"21,602"
          Fiber Industry Development Authority,"11,824","2,524","2,103",351,"13,645","8,271",0,0,"5,725","2,244",768,0,0,671,0,"19,162",352,458,"2,417",0,160,0,150,0,0,"70,825"
          Livestock Development Council,"1,851",574,465,8,"3,956",0,0,"3,000","1,503",492,111,0,0,105,0,"3,969",4,285,"1,597",0,28,0,"1,280",0,0,"19,228"
          National Agricultural and Fishery Council,"30,319","5,199","1,244",0,"19,392",420,0,"492,919","3,375","106,085","2,400",0,0,927,0,"32,296",580,180,415,0,23,0,61,0,172,"696,007"
          National Meat Inspection Service,"8,570","2,093","4,150",50,"7,528",531,0,0,"7,070","5,627",209,0,0,580,0,"19,098","3,106",194,0,0,179,0,0,0,0,"58,985"
          Philippine Carabao Center,"10,561","2,616","16,520",515,"82,236","3,522",153,0,"11,190","9,471",103,0,0,"2,136",0,"45,864","2,599",103,552,0,149,0,225,0,0,"188,515"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"9,018","1,097","3,095",37,"10,057",354,0,"3,301","4,776","2,500",186,0,0,"1,059",0,"14,566","2,716",186,594,0,85,0,81,0,0,"53,708"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"194,920","27,413","8,580",29,"116,255","6,229",37,"20,166","31,391","13,879","4,631",0,0,"2,277",0,"281,276","48,822","2,044","16,678",0,688,720,38,4,0,"776,077"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"194,900","27,147","8,478",29,"115,862","5,886",37,"20,166","31,153","10,779","4,521",0,0,"2,274",0,"281,271","48,819","1,830","16,424",0,673,720,28,4,0,"771,001"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,20,266,102,0,393,343,0,0,238,"3,100",110,0,0,3,0,5,3,214,254,0,15,0,10,0,0,"5,076"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"841,326","361,533","1,762,335","24,999","5,975,289","10,310","2,417","6,909,508","932,587","1,369,397","2,181,228",0,0,"47,165",0,"907,659","256,108","4,058","23,844",7,"28,671","1,610",947,"1,276",76,"21,642,350"
