roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
I.,CURRENT OPERATING EXPENDITURES,,,,,,
,,,,,,,
A.,PERSONAL SERVICES,,,,,,
,,,,,,,
,I.  Civilian Personnel,,,,,,
,,,,,,,
,     Permanent Positions,,,,,,
,               Salaries,206365089,195482721,195482721,237330538,,
,               Reclassification of Positions,0,105718,105718,105718,,
,               Creation of New Positions,0,14712054,14712054,22552177,1,
,,,,,,,
,          Total Salaries and other Lump-sums,206365089,210300493,210300493,259988433,1,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,20539745,20872896,20872896,21095220,,
,               Representation Allowance,2839403,3017051,3017051,3708855,,
,               Overtime Pay,152008,0,0,0,,
,               Year-end Bonus,21348188,20635075,20635075,24156120,,
,               Clothing and Uniform Allowance,3505795,4770159,4770159,4396099,,
,               Step Increments for Length of Service,84513,491687,491687,595923,,
,               Productivity Incentive Benefits,2566016,1742884,1742884,1767086,,
,               Honoraria,1007481,929508,930990,1540259,,
,               CNA/PEI/PBB,16549240,12309975,12309975,16936816,1,
,,,,,,,
,          Total Other Compensation Common to All,68592389,64769235,64770717,74196378,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Conversion to Master Teachers,0,79620,79620,74212,,
,               Lump-sum for Personal Services,511418,932815,932815,932815,,
,               Magna Carta of Public Health Workers,821808,711058,711058,757280,,
,               Magna Carta for Science and Technology per R.A. 8439,200939,159589,159589,183769,,
,               Subsistence Allowance,160147,52018,52018,52285,,
,               Laundry Allowance,673,708,708,704,,
,               Quarters Allowance,2174,2607,2607,2607,,
,               Bicycle Allowance,1057,964,964,0,,
,               Special Duty Allowance,27936,27936,27936,78612,,
,               Overseas Allowance,4208734,4403737,4403737,4419765,,
,               Allowance of PAO Lawyers and Employees Assigned in Night Courts,576,576,576,576,,
,               Allowance of Attorney's de Officio,1013,5486,5486,5486,,
,               Inquest Allowance,58064,62106,62106,62106,,
,               Hardship Allowance,307466,189679,189679,189679,,
,               Hazard Pay,234136,70659,70659,51856,,
,               Night Differential Pay,12925,14231,14231,10099,,
,               Private Messenger Fee,575,670,670,0,,
,               Technical Incentive Allowance,8809,9148,9148,9148,,
,               Per Diems for Meetings,29416,232808,232808,2192478,,
,               Longevity Pay,74457,204149,204149,216133,,
,               Lump-sum for Compensation Differential,0,59957150,59957150,10131499,,
,               Lump-sum for NBC 308,0,6041,6041,3856,,
,               Lump-sum for filling-up of authorized positions,0,23426955,23426955,23343109,,
,               Implementation of Equivalents Record Form,8167,136118,136118,131943,,
,               Monetization of Leave Credits,323081,0,0,0,,
,               Loyalty Pay,92483,0,0,0,,
,               Special Allowance for Judges and Justices,41250,165000,165000,165000,,
,               Special Allowance,44716,138649,138649,151,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,7172020,90990477,90990477,43015168,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Retirement and Life Insurance Premiums,24757261,25784370,25784370,30263797,,
,               Retirement Benefits,6840218,17754909,17754909,17415356,,
,               Terminal Leave Benefits,8699187,16739013,16739013,17157755,,
,               PAG-IBIG Contributions,1076878,1049786,1049786,1060844,,
,               Medicare Premiums,2170769,2325588,2325588,2586816,,
,               Employees Compensation Insurance Premiums,1051338,1043209,1043209,1059373,1,
,,,,,,,
,          Total Other Benefits,44595651,64696875,64696875,69543941,1,
,,,,,,,
,"     Total Compensation, Permanent Positions",326725149,430757080,430758562,446743920,1,
,,,,,,,
,     Non-Permanent Positions,,,,,,
,"          Contractual, Casual and Emergency Personnel",4047416,4030740,4030740,4468847,,
,          Substitute Teachers,1901597,806787,806787,1393784,1,
,,,,,,,
,     Total Compensation Non-Permanent Positions,5949013,4837527,4837527,5862631,1,
,,,,,,,
,"     Total Compensation, Civilian Personnel",332674162,435594607,435596089,452606551,1,
,,,,,,,
,II. Military/Uniformed Personnel,,,,,,
,,,,,,,
,"               Base Pay, Military",24455403,23018757,23018757,28810809,,
,"               Base Pay, Uniformed Personnel",36098780,30102609,30102609,40959390,1,
,,,,,,,
,          Total Basic Pay,60554183,53121366,53121366,69770199,1,
,,,,,,,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,7181839,7146552,7146552,7265592,,
,               Year-end Benefits,7293982,6515898,6515898,7327854,,
,               Productivity Incentive Benefits,603350,593446,593446,603366,,
,               Clothing Allowance,834503,742796,742796,726927,,
,               Longevity Pay,14633556,14022525,14022525,14499659,,
,               Subsistence Allowance,11822249,11829661,11829661,12045479,,
,               Laundry Allowance,129797,122779,122779,118109,,
,               Hazard Pay,1190345,1020556,1020556,871606,,
,               Quarters Allowance,1602135,1635018,1635018,1619384,1,
,,,,,,,
,          Total Other Compensation Common to All,45291756,43629231,43629231,45077976,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Allowances for Personnel Stationed Abroad,17659,20000,20000,12000,,
,               Other Subsistence Allowances,274465,373722,373722,375522,,
,               Special Clothing Allowances,2316558,1596489,1596489,2013004,,
,               Specialist's Pay,17541,20225,20225,24801,,
,               Other Hazard Duty Pay,858340,1399397,1399397,1621510,,
,               Incentive Pay,76911,131529,131529,131529,,
,               Combat Incentive Pay,10000,10000,10000,10000,,
,               Sea Duty Pay,148144,274048,274048,270169,,
,               Instructor's Duty Pay,198633,228305,228305,276912,,
,               Reservist's Pay,247347,227711,227711,249021,,
,               Honoraria,197,0,0,0,,
,               Medal of Valor Award,8457,7200,7200,8520,,
,               Reenlistment Pay,27812,14555,14555,27824,,
,               Hospitalization Expenses,72948,56654,56654,113298,,
,               Magna Carta Benefits of Public Health Workers,90993,3537,3537,7912,,
,               Parachutist Pay,96013,158959,158959,174201,,
,               LOI 63 (AFA),195288,202055,202055,202055,,
,               Flying Pay,333894,416515,416515,424099,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,4991200,5140901,5140901,5942377,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Terminal Leave,3745232,0,0,0,,
,               PAG-IBIG Contributions,361662,357327,357327,363282,,
,               Health Insurance Premiums,745794,850913,850913,794142,,
,               Special Group Term Insurance,21894,21510,21510,21786,,
,               Employees Compensation Insurance Premiums (ECIP),322485,357302,357302,363282,1,
,,,,,,,
,          Total Other Benefits,5197067,1587052,1587052,1542492,1,
,,,,,,,
,"     Total Compensation, Military/Uniformed Personnel",116034206,103478550,103478550,122333044,1,
,,,,,,,
,,,,,,,
,     Sub-Total Personal Services,448708368,539073157,539074639,574939595,1,
,,,,,,,
,     Other Personal Services,,,,,,
,"          Pensions, Military",36800833,34347828,34347828,39703190,,
,"          Pensions, Uniformed Personnel",15638581,18170000,18170000,24455246,,
,"          Pensions, Civilian",1087953,1113723,1113723,1368729,,
,          Other Police Benefits,720434,835145,835145,835145,1,
,,,,,,,
,     Total Other Personal Services,54247801,54466696,54466696,66362310,1,
,,,,,,,
,TOTAL PERSONAL SERVICES,502956169,593539853,593541335,641301905,1,
,,,,,,,
B.,Maintenance and Other Operating Expenses,,,,,,
,,,,,,,
,               002  Travelling Expenses,7739846,9351734,9349277,11930234,,
,               003  Communication Expenses,2692722,3807978,3807696,4209591,,
,               004  Repair and Maintenance,21230005,23845055,23831755,27277327,,
,               006  Transportation and Delivery Expenses,604179,695289,691534,1256213,,
,               007  Supplies and Materials,39005780,46336485,46336225,53829021,,
,               008  Rents,10159289,15719863,15718673,9724797,,
,               009  Interests,279244561,333473226,333473226,334219165,,
,               010  Subsidies and Donations,442588131,405782234,405838019,476150624,,
,               014  Utility Expenses,8430245,10246661,10281881,10874196,,
,               017  Training and Scholarship Expenses,9109739,12421228,12403119,17461983,,
,               018  Extraordinary and Miscellaneous Expenses,2955827,1120810,1120468,894050,,
,               019  Confidential Expenses,752954,789208,787708,852735,,
,               020  Intelligence Expenses,442417,546826,548326,551926,,
,"               021  Taxes, Insurance Premiums and Other Fees",15583860,34899634,34899527,28936724,,
,               022  Tax Refund,292958,9969209,9969209,15518556,,
,               023  Rewards and Incentives,0,0,0,2182808,,
,               029  Professional Services,28508933,24087856,24069748,32584200,,
,               117  Printing and Binding Expenses,1142498,1642659,1616328,1695944,,
,               118  Advertising Expenses,553027,803948,801738,1814199,,
,               119  Representation Expenses,1725624,1788215,1787673,2169985,,
,               121  Storage Expenses,9860,13358,13358,14008,,
,               122  Subscription Expenses,247018,262022,258010,317565,,
,               123  Survey Expenses,751616,5232299,5232299,3218921,,
,               124  Membership Dues and Contributions to Organizations,2871220,1853110,1853110,1435109,,
,               126  Awards and Indemnities,44626,56575,56575,151746,,
,               127  Rewards and Other Claims,71216,218695,218695,224635,1,
,,,,,,,
,TOTAL MAINTENANCE AND OTHER OPERATING EXPENSES,876758151,944964177,944964177,1039496262,1,
,,,,,,,
,TOTAL CURRENT OPERATING EXPENDITURES,1379714320,1538504030,1538505512,1680798167,1,
,,,,,,,
II.,CAPITAL OUTLAYS,,,,,,
,,,,,,,
,               031  Investment Outlay,12202592,3223917,3223917,8448995,,
,               032  Loans Outlay,379796,21385,21385,2010000,,
,               033  Livestock and Crops Outlay,313275,361628,361628,45340,,
,               034  Land and Land Improvements Outlay,1398176,2269928,3193701,2364257,,
,               035  Buildings and Structures Outlay,16872915,30542905,30706449,23148179,,
