mooe_code,category,list,appropriation,expenditures,balances
"""12-01",MOOE,Loan Amortization-MDFO (LOGOFIND/LBP/IRA Loan),9621115.16,6675821.39,2945293.77
"""12-02",MOOE,Food Security Program-Food Security Program,-,-,-
12-02A,MOOE,Food Security Program-Crops and Vegetable: Crops Development Program,3000000,2430502.07,569497.93
12-02B,MOOE,Food Security Program-Fisheries: Fisheries Development Program,552800,95068.1,457731.9
12-02C,MOOE,Food Security Program-Livestock and Poultry: Organic Livestock and Poutry Development Program,1447200,1319878.11,127321.89
"""12-03",MOOE,"Management, Protection, Rehabilitation and Maintenance of Watershed Areas and Reforestation Project",5000000,4081597.54,918402
"""12-04",MOOE,Socio-Cultural Development/Enhancement Program,-,-,-
12-04A,MOOE,Socio-Cultural Development/Enhancement Program-Batanes Day Celebration,4700000,3256434.5,1443565.5
12-04B,MOOE,Socio-Cultural Development/Enhancement Program-Provincial Government Support to CAVRAA,300000,277840,22160
"""12-05",MOOE,Purchase/Repair of Emergency/Calamity Related Equipments,1198197.24,-,1198197.24
"""12-06",MOOE,Funding Assistance for Livelihood/Enterpreneurship/Local Development Pro.,500000,-,500000
"""12-07",MOOE,Repair of Mahatao Bowling Facility,350000,294260,55740
"""12-08",MOOE,Rehabilitation of Nakakanmuan Cogonal Reserve,150000,69947.2,80052.8
"""12-09",MOOE,FMR Repair/Improvement and Rehabilitation of Roads and Bridges Provincewide,3700000,3264373.79,435626.21
"""12-10",MOOE,Rehabilitaion of Acedes Street,320000,301325.35,18673.64
"""12-11",Capital Outlay,Development of PEO Equipment Yard Cum Indoor Recreational Facility-Phase II,1500000,1045522.7,454477.3
"""12-12",Capital Outlay,Replacement and Improvement of Batanes Resort Roofing Facilities,2000000,1845612.69,154387.31
"""12-13",Capital Outlay,Construction of PEO MP Warehouse,500000,334622.98,165377.02
"""12-14",Capital Outlay,"Rehabilitaion/Improvement of Protective Services, Building and Facilities",1500000,1138346.42,361653.58
"""12-15",Capital Outlay,Construction of Closed Culvert at Barsana Street,450000,426372.63,23627.37
