function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Grand Total,Grand Total,294903472.4,137611721.4,53675258.07,157291750.9,83936463.37
Current Year Appropriations,Current Year Appropriations,294903472.4,137611721.4,53675258.07,157291750.9,83936463.37
Current Year Appropriations,Maintenance and Other Operating Expenses,146619488.2,68116687.31,23713626.95,78502800.91,44403060.36
Current Year Appropriations,Capital Outlay,148283984.1,69495034.13,29961631.12,78788950,39533403.01
Function/Program/Project-2007-2100 Provincial Commitment-2101 Third Road Improvemenet Program-(GO/PEO)-210101,Function/Program/Project-2007-2100 Provincial Commitment-2101 Third Road Improvemenet Program-(GO/PEO)-210101,2322844.07,0,0,2322844.07,0
Function/Program/Project-2007-2100 Provincial Commitment-2101 Third Road Improvemenet Program-(GO/PEO)-210101,Maintenance and Other Operating Expenses,2322844.07,0,0,2322844.07,0
Provincial Waterworks (PWWS)-210102,Provincial Waterworks (PWWS)-210102,177155.93,177155.93,176884,0,271.93
Provincial Waterworks (PWWS)-210102,Maintenance and Other Operating Expenses,177155.93,177155.93,176884,0,271.93
Lower Magat Forest Reserved Project-(ENRO/GO/PEO)-210103,Lower Magat Forest Reserved Project-(ENRO/GO/PEO)-210103,63.83,63.83,0,0,63.83
Lower Magat Forest Reserved Project-(ENRO/GO/PEO)-210103,Maintenance and Other Operating Expenses,63.83,63.83,0,0,63.83
Construction/Maintenance of Provincial Roads and Bridges (Fuel/Oil and Spareparts of Heavy Qwuipment)-(PEO)-210104,Construction/Maintenance of Provincial Roads anad Bridges (Fuel/Oil & Spareparts of Heavy Qwuipment)-(PEO)-210104,150774,150774,0,0,150774
Construction/Maintenance of Provincial Roads and Bridges (Fuel/Oil and Spareparts of Heavy Qwuipment)-(PEO)-210104,Maintenance and Other Operating Expenses,150774,150774,0,0,150774
Maintenance and Rehabilitaion of Irrigation Systems-(PEO/PAGro)-210106,Maintenance and Rehabilitaion of Irrigation Systems-(PEO/PAGro)-210106,65075.79,65075.79,0,0,65075.79
Maintenance and Rehabilitaion of Irrigation Systems-(PEO/PAGro)-210106,Maintenance and Other Operating Expenses,65075.79,65075.79,0,0,65075.79
Tax Mapping Ambaguio-(PASSO)-210107,Tax Mapping Ambaguio-(PASSO)-210107,9926.91,9926.91,0,0,9926.91
Tax Mapping Ambaguio-(PASSO)-210107,Maintenance and Other Operating Expenses,9926.91,9926.91,0,0,9926.91
Management Development Fund-(GO)-210108,Management Development Fund-(GO)-210108,15724.75,15724.75,0,0,15724.75
Management Development Fund-(GO)-210108,Maintenance and Other Operating Expenses,15724.75,15724.75,0,0,15724.75
Barangay Development Assistance Program-(GO)-210109,Barangay Development Assistance Program-(GO)-210109,57000,57000,0,0,57000
Barangay Development Assistance Program-(GO)-210109,Maintenance and Other Operating Expenses,57000,57000,0,0,57000
PDC Operations-(PPDO)-210111,PDC Operations-(PPDO)-210111,1196.52,1196.52,0,0,1196.52
PDC Operations-(PPDO)-210111,Maintenance and Other Operating Expenses,1196.52,1196.52,0,0,1196.52
Human Resource Relief Program (Sal. GRD 11 Up)-(PHRMO/GO)-210112,Human Resource Relief Program (Sal. GRD 11 Up)-(PHRMO/GO)-210112,1250,1250,0,0,1250
Human Resource Relief Program (Sal. GRD 11 Up)-(PHRMO/GO)-210112,Maintenance and Other Operating Expenses,1250,1250,0,0,1250
Development Administration-2120 Capability Building-Competency Development-(PHRMO)-21202,Development Administration-2120 Capability Building-Competency Development-(PHRMO)-21202,8136,8136,0,0,8136
Development Administration-2120 Capability Building-Competency Development-(PHRMO)-21202,Maintenance and Other Operating Expenses,8136,8136,0,0,8136
CSOS/PSOS/LGU and NGAS Collaborative Program Phase II-(ACDA/PPDO)-21203,CSOS/PSOS/LGU & NGAS Collaborative Program Phase II-(ACDA/PPDO)-21203,97000,97000,0,0,97000
CSOS/PSOS/LGU and NGAS Collaborative Program Phase II-(ACDA/PPDO)-21203,Maintenance and Other Operating Expenses,97000,97000,0,0,97000
Biometric Attendance System-(PHRMO)-21204,Biometric Attendance System-(PHRMO)-21204,209.2,209.2,0,0,209.2
Biometric Attendance System-(PHRMO)-21204,Maintenance and Other Operating Expenses,209.2,209.2,0,0,209.2
New Government Accounting System Computerized Version-(PACCO/PBO)-21205,New Government Accounting System Computerized Version-(PACCO/PBO)-21205,3500,3500,0,0,3500
New Government Accounting System Computerized Version-(PACCO/PBO)-21205,Maintenance and Other Operating Expenses,3500,3500,0,0,3500
