programs_or_projects_1,programs_or_projects_2, appropriation , 2nd_quarter_obligation , total_obligation , balance_appropriation 
General Public Services,General Public Services,18994775,40445277.69, - ,18994775
General Public Services,Debt Services,18094775,40445277.69, - ,18094775
General Public Services,Provision of Livelihood Program for Displaced Workers,900000, - , - ,900000
Social Services,Social Services,16500000,13284,771288,15728712
Social Services,Construction of Multi-Purpose Bldg.-Phase I (Lumbocan NHS),1000000,13284,771288,228712
Social Services,Closure of Dumpsite at Barangay Doongan,10000000, - , - ,10000000
Social Services,Construction or Establishment of Day Care Center in Tribal Communities,3000000, - , - ,3000000
Social Services,Construction of Home for the Boys at Baranagay Antongalon,2500000, - , - ,2500000
Economic Service,Economic Service,119219835,24660750.11,54983721.77,64236113.23
Economic Service-Miscellaneous and Other Structures,Economic Servic-Miscellaneous and Other Structures,11702835,1321192.82,4466033.54,7236801.46
Economic Service-Miscellaneous and Other Structures,Construction of Multi-Purpose Building - Barangay Amparo,3000000,945831.72,1964209.11,1035790.89
Economic Service-Miscellaneous and Other Structures,Rehabilitation Of Multi-Purpose Hall - Barangay Silongan,1356000, - , - ,1356000
Economic Service-Miscellaneous and Other Structures,Energization and Installation of Street Lighting (Baan Km.3 to Tiniwisan),3500000, - , - ,3500000
Economic Service-Miscellaneous and Other Structures,"Establishment of Mini Forest or Reforestration for Barangay Anticala,Pianing,Salvacion,Bugsukan and  Antongalon",1000000, - , - ,1000000
Economic Service-Miscellaneous and Other Structures,Construction of School Buildings,1952835,199554.1,1922793.43,30041.57
Economic Service-Miscellaneous and Other Structures,BISANTODA Terminal Shed,500000,78822,482046,17954
Economic Service-Miscellaneous and Other Structures,Land Acquisition or Road-Right-of-Way,250000,96985,96985,153015
Economic Service-Miscellaneous and Other Structures,Concrete Pedestal for Datu Silongan Statue,50000, - , - ,50000
Economic Service-Miscellaneous and Other Structures,Purchase of Iconic Statue of Datu Silongan,94000, - , - ,94000
Economic Service-Livelihood Programs,Economic Service-Livelihood Programs,4272000,198050,198050,4073950
Economic Service-Livelihood Programs,Rice Seeds Subsidy Program,1800000,143050,143050,1656950
Economic Service-Livelihood Programs,Corn Seeds  Program,100000,55000,55000,45000
Economic Service-Livelihood Programs,Goat Dispersal Program,1950000, - , - ,1950000
Economic Service-Livelihood Programs,Native chicken Dispersal Program,422000, - , - ,422000
Economic Service-Concreting of Roads,Economic Service-Concreting of Roads,44814607.62,16056300.97,35416733.77,9397873.85
Economic Service-Concreting of Roads,Concreting of Road - Employees Village to Village II,12000000,6022205.61,6022205.61,5977794.39
Economic Service-Concreting of Roads,Concreting of Road - Barangay Pagatpatan,12850242.92, - ,12850242.92, - 
Economic Service-Concreting of Roads,Concreting of Road - Barangay Pinamanculan,3964364.7, - ,3964364.7, - 
Economic Service-Concreting of Roads,Concreting of Road - Barangay Dumalagan,5000000,3390189.18,3390189.18,1609810.82
Economic Service-Concreting of Roads,Concreting of Road - Barangay Limaha,1000000,268453,866619,133381
Economic Service-Concreting of Roads,Concreting of Road - Barangay Fort Poyohon,2000000,1444948.65,1744034.5,255965.5
Economic Service-Concreting of Roads,Concreting of Road - DAR Subdivision,1000000, -   ,987550.15,12449.85
Economic Service-Concreting of Roads,Concreting of Road - Service Road BMC,1500000,1001287.06,1001287.06,498712.94
Economic Service-Concreting of Roads,Concreting of Road - Barangay Mahogany,800000,42790,703813.18,96186.82
Economic Service-Concreting of Roads,Concreting of Road - Barangay San Vicente,4000000,3215522.17,3215522.17,784477.83
Economic Service-Concreting of Roads,Concreting of Road - R. Calo Street - Montilla Blvd.Road,700000,670905.3,670905.3,29094.7
Economic Service-Drainage System,Economic Service-Drainage System,46485392.38,3781757.02,4663613.46,41821778.92
Economic Service-Drainage System,Construction of Enhanced Waterways or Drainage,37800000, - , - ,37800000
Economic Service-Drainage System,Construction of Drainage System - Guingona Park to Teofilo Sanchez Street,3500000,524401.23,524401.23,2975598.77
Economic Service-Drainage System,Construction of Drainage System - Estipona Subdivision,5000000,3257355.79,4006602.73,993397.27
Economic Service-Drainage System,Installation of RCPC with Grouted Riprap both ends - Tungao,185000, - ,132609.5,52390.5
Economic Service-Drainage System,"Riverbank Protection - P-18,  Barangay Tungao",392.38, - , - ,392.38
Economic Service-Rehabilitation or Repair- Farm to Market Roads,Economic Service-Rehabilitation or Repair- Farm to Market Roads,10200000,3099292.3,8503339.3,1696660.7
Economic Service-Rehabilitation or Repair- Farm to Market Roads,Farm to Market Road and RT 20 Soil Stabilizer - Various Barangay,7200000,102692.3,5506739.3,1693260.7
Economic Service-Rehabilitation or Repair- Farm to Market Roads,Filling Materials for Various Barangays,1000000,999000,999000,1000
Economic Service-Rehabilitation or Repair- Farm to Market Roads,Filling Materials (Graded and Compacted) for Western Barangay,1000000,997600,997600,2400
Economic Service-Rehabilitation or Repair- Farm to Market Roads,Filling Materials (Graded and Compacted)for Eastern Barangay,1000000,1000000,1000000, - 
Economic Service-Rural Waterworks Supply Projects,Rural Waterworks Supply Projects,1745000,204157,1735951.7,9048.3
Economic Service-Rural Waterworks Supply Projects,Rehabilitation of Spring Development Projects - Barangay Salvacion,1745000,204157,1735951.7,9048.3
Total,Total,154714610,65119311.8,55755009.77,98959600.23
