program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
General Fund Proper,-,-,-,-,-,-,-
Office of the Mayor- Admin,-,1011,114796680.2,110240279.2,4556400.99,101962889.5,8277389.76
Office of the Mayor- Admin- Personal Services,-,-,15378919.83,15378919.83,-,14963041.46,415878.37
Office of the Mayor- Admin- Personal Services,Salaries and Wages-Regular,701,6897780,6897780,-,6743982.53,153797.47
Office of the Mayor- Admin- Personal Services,Salaries and Wages-Casual,705,5056939.68,5056939.68,-,5056442.08,497.6
Office of the Mayor- Admin- Personal Services,PERA,711,544000,544000,-,530909.1,13090.9
Office of the Mayor- Admin- Personal Services,Representation Allowance,713,159600,159600,-,159600,-
Office of the Mayor- Admin- Personal Services,Transportation Allowance,714,66000,66000,-,66000,-
Office of the Mayor- Admin- Personal Services,Clothing Allowance,715,104000,104000,-,88000,16000
Office of the Mayor- Admin- Personal Services,Overtime and Night Pay,723,908194.19,908194.19,-,770999.31,137194.88
Office of the Mayor- Admin- Personal Services,Cash gift,724,112500,112500,-,111000,1500
Office of the Mayor- Admin- Personal Services,Year-End Bonus,725,573747,573747,-,554535,19212
Office of the Mayor- Admin- Personal Services,Life and Retirement Insurance Contributions,731,827733.96,827733.96,-,763601.57,64132.39
Office of the Mayor- Admin- Personal Services,PAG-IBIG Contributions,732,27200,27200,-,25375,1825
Office of the Mayor- Admin- Personal Services,PHILHEALTH Contributions,733,74025,74025,-,67425,6600
Office of the Mayor- Admin- Personal Services,ECC Contributions,734,27200,27200,-,25171.87,2028.13
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,-,-,67794511.77,67794511.77,-,64341121.92,3453389.85
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Travel Expenses-Local,751,3998519.04,3998519.04,-,3982350.29,16168.75
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Travel Expenses-Foreign,752,658000,658000,-,616000,42000
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Training Expenses,753,2307985.18,2307985.18,-,1922087.49,385897.69
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Office Supplies Expense,755,6430111.5,6430111.5,-,6335956.31,94155.19
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Gasoline Expenses,761,11818773.79,11818773.79,-,11716983.36,101790.43
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Oil and Lubricants,761,3000000,3000000,-,1989760.93,1010239.07
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Other Supplies Expenses,765,2024000,2024000,-,1856360.5,167639.5
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Telephone Expense Landline,772,679200,679200,-,527173.97,152026.03
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Telephone Expense Mobile,773,1150000,1150000,-,1081969.61,68030.39
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Internet Expense,774,930310.8,930310.8,-,703542.39,226768.41
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,50000,50000,-,1950,48050
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Awards and Indemnities,779,50000,50000,-,-,50000
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Advertising Expenses,780,380000,380000,-,322324.4,57675.6
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Representation Expenses,783,285300,285300,-,272072,13228
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subscription Expenses,786,50000,50000,-,46351,3649
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Other Structures(Reference number:  014-01-12),815,514000,514000,-,511990.96,2009.04
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance-Office Equipment,821,130000,130000,-,92208.83,37791.17
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Furniture and Fixtures,822,10000,10000,-,-,10000
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- IT Equipment and Software,823,330000,330000,-,194726,135274
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Communication Equipment,829,50000,50000,-,48210,1790
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Fire Fighting Equipment,835,72500,72500,-,-,72500
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Other Machineries and Equipment,840,292920,292920,-,256668.25,36251.75
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Motor Vehicles,841,4052830,4052830,-,3854005.75,198824.25
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,"Repair and Maintenance- Other Property, Plant and Equipment",850,60000,60000,-,59130,870
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Repair and Maintenance- Musical Instrument,850,100000,100000,-,95800,4200
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidies and Donations,878,-,-,-,-,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to COMELEC,-,100000,100000,-,20974.4,79025.6
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to DRH,-,1000000,1000000,-,1000000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to Home for the Aged,-,150000,150000,-,100000,50000
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to Philippine National Red Cross,-,100000,100000,-,100000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to Philippine Tuberculosis Society,-,300000,300000,-,300000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to League Cities of the Philippines,-,200000,200000,-,200000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to DIDP,-,500000,500000,-,500000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to ABC,-,1000000,1000000,-,982171.33,17828.67
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Subsidy to NGOs,-,200000,200000,-,200000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Donations,-,20000,20000,-,20000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Confidential Expenses,881,9500000,9500000,-,9500000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Intelligence Expenses,882,9500000,9500000,-,9500000,-
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Extraordinary Expenses,883,520430,520430,-,515589,4841
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Fidelity Bond Premiums,892,70000,70000,-,67650,2350
Office of the Mayor- Admin- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,5209631.46,5209631.46,-,4847115.15,362516.31
Office of the Mayor- Admin- Financial Expenses,-,-,4573144,1073143.01,3500000.99,1073143.01,-
Office of the Mayor- Admin- Financial Expenses,Interest Expenses,975,3697613,197612.32,3500000.68,197612.32,-
Office of the Mayor- Admin- Financial Expenses,Loans Payable,444,875531,875530.69,0.31,875530.69,-
Office of the Mayor- Admin- Capital Outlay,-,-,27050104.62,25993704.62,1056400,21585583.08,4408121.54
Office of the Mayor- Admin- Capital Outlay,Office Equipment,221,270000,100000,170000,81895,18105
Office of the Mayor- Admin- Capital Outlay,Furniture and Fixtures,222,-,-,-,-,-
Office of the Mayor- Admin- Capital Outlay,"Furniture and Fixtures- Fab. Shop, Motorpool (Reference number: 058-02-12)",-,1000000,1000000,-,763940,236060
Office of the Mayor- Admin- Capital Outlay,IT Equipment and Software,223,1740000,1740000,-,1525994,214006
Office of the Mayor- Admin- Capital Outlay,"Basketball Ring or Board at Motorpool, Tagum City (Reference number: 0101-02-12)",235,1000000,1000000,-,965650.46,34349.54
Office of the Mayor- Admin- Capital Outlay,Motor Vehicles,241,3258635.13,3258635.13,-,3258635.13,-
Office of the Mayor- Admin- Capital Outlay,"Other Property, Plant and Equipment",250,1380000,1380000,-,999122,380878
Office of the Mayor- Admin- Capital Outlay,Development and Maintenance of New City Hall,215,6480945.71,6480945.71,-,6098822.3,382123.41
Office of the Mayor- Admin- Capital Outlay,"Development and Maintenance of New City Hall- Construction Of Bleacher Canopy, Brgy. Apokon (Reference number: 0120-03-12)",-,-,3000000,-,2967161.1,32838.9
Office of the Mayor- Admin- Capital Outlay,Development and Maintenance of New City Hall- Brgy. Apokon (Reference number: 145-04-12),-,-,1480945.71,-,1480845,100.71
Office of the Mayor- Admin- Capital Outlay,"Development and Maintenance of New City Hall- (Atrium Stage Flooring) New City Hall, Brgy. Apokon (Reference number: 259-09-12)",-,-,1500000,-,1486419.2,13580.8
Office of the Mayor- Admin- Capital Outlay,"Development and Maintenance of New City Hall- Construction of Pathway, Brgy. Apokon (Reference number: 276-10-12)",-,-,500000,-,164397,335603
