particulars_1,particulars_2,particulars_3,amount,Total
Estimated Revenue fromRegular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,-,412746676
Calamity Fund,Calamity Fund,Calamity Fund,-,20637333.8
70% DRRMF,70% DRRMF,70% DRRMF,-,14446133.66
Less-Disbursements,Pre-Disaster Preparedness Programs,Seminars - DRRM Officer,6210,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Evacuation Centers and Drainages,3590528.33,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Outreached Programs on Disaster Preparedness,1687549,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Purchase of Garbage Truck (Additional),344000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Reforestation Program,1518230,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Installation of Portable CRs and Trash Bins,2702630,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Total Disbursements,-,9849147.33
Balance as of 9/30/2014,Balance as of 9/30/2014,Balance as of 9/30/2014,-,4596986.33
