province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
NCR - Fourth District,City Of Las Pinas,Mayor,"Aguilar, Imelda Tobias",Mel,Independent,166324
NCR - Fourth District,City Of Las Pinas,Vice-Mayor,"Bustamante, Luis Imperial",Louie,Lakas- Christian Muslim Democrats,162548
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Aguilar, Dennis Santos",Dennis,Lakas- Christian Muslim Democrats,70413
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Santos, Mark Anthony Gayoso",Potoy,Lakas- Christian Muslim Democrats,64541
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Suliguin, Leonardo Jr. Irlandez",Jun,Lakas- Christian Muslim Democrats,63308
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Miranda, Alfredo Lim",Steve,Lakas- Christian Muslim Democrats,62613
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Salvador, Reynaldo Bautista",Boy,Lakas- Christian Muslim Democrats,59045
NCR - Fourth District,City Of Las Pinas,Councilor - 1st District,"Lezarda, Eduardo Perido",Eddie,Lakas- Christian Muslim Democrats,56730
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Dela Cruz, Berlin Reyes",Berlin,Lakas- Christian Muslim Democrats,68346
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Medina, Henry De Castro",Engineer,Lakas- Christian Muslim Democrats,65575
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Alejandro, Rogelio Medina",Roger,Lakas- Christian Muslim Democrats,61131
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Villaraza, Romeo Ratunil",Boy,Lakas- Christian Muslim Democrats,55494
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Hernandez, Danilo Venzon",Davhez,Lakas- Christian Muslim Democrats,53433
NCR - Fourth District,City Of Las Pinas,Councilor - 2nd District,"Dumlao, Renato Pangan",Rene,Lakas- Christian Muslim Democrats,52838
NCR - Fourth District,City of Makati,Mayor,"Binay, Jejomar Cabauatan",Jojo,Partido ng Demokratikong Pilipino- Lakas ng Bayan,186655
NCR - Fourth District,City of Makati,Vice-Mayor,"Mercado, Ernesto Salvador",Nestor,Partido ng Demokratikong Pilipino- Lakas ng Bayan,146809
NCR - Fourth District,City of Makati,Councilor - 1st District,"Binay, Jejomar Erwin Jr. Sombillo",Jun-Jun,Partido ng Demokratikong Pilipino- Lakas ng Bayan,78926
NCR - Fourth District,City of Makati,Councilor - 1st District,"Puno, Enrico De Jesus",Rico J. Puno,Partido ng Demokratikong Pilipino- Lakas ng Bayan,72123
NCR - Fourth District,City of Makati,Councilor - 1st District,"Javier, Ricardo Soriano",Ric-Oloy,Partido ng Demokratikong Pilipino- Lakas ng Bayan,72031
NCR - Fourth District,City of Makati,Councilor - 1st District,"Eusebio, Ferdinand Tengco",Ferdie Tanggol,Partido ng Demokratikong Pilipino- Lakas ng Bayan,67737
