NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,,
As of 26 September 2012,,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,15.2,(Jul '12),12.2,(Jun '12),15.2,(Jul '12),23.6,(Jul '11)
,,GNI,,,5.6,(Q2'12),5.1,(Q1 '12),5.4,(S1'12),2.4,(Q2 '11),B.,NPL to total loans ratio,2.1,(Jun '12),2.2,(May '12),2.1,(Jun '12),2.5,(Jun '11)
,,GDP,,,5.9,,6.3,,6.1,,3.6,,C.,M3 Growth /b,8.7,(Jul '12),7.1,(Jun '12),8.7,(Jul '12),8.3,(Jul '11)
,,,Agriculture,,0.7,,1,,0.8,,8.3,,IV. PRICES,,Latest ,,Preceding,,Year to,,Same Month,
,,,Industry,,4.6,,5.3,,4.9,,-1.4,,,,Month,,Month,,      Date,,Year Ago,
,,,Services,,7.6,,8.1,,7.8,,5.6,,A.,Headline Inflation Rate (%) (NSO)/c,3.8,(Aug '12),3.2,(Jul '12),3.2,Jan - Aug '12,4.6,(Aug '11)
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,,  Food and Non-Alcoholic Beverages,3.3,,2.3,,2.2,,5.2,
,,(2000 - based),,,Month,,Month,,Date,,Year Ago ,,,  Non-Food,4.1,,3.8,,3.9,,4.3,
,,Value of Production(% g.r.),,,4.6,(Jul '12),8.7,(Jun '12),6.4,(Jan-Jul '12),4.2,(Jul '11),,NCR,4.5,,3.1,,2.9,,3.3,
,,Volume of Production(% g.r.),,,4.7,,11.2,,5.5,,4.6,,,AONCR,3.6,,3.2,,3.2,,5,
,,Value of Sales(% g.r.),,,-0.3,,3.2,,4.9,,15.1,,B.,Core Inflation Rate (%) (NSO)/c,4.3,(Aug '12),4.1,(Jul '12),3.7,Jan - Aug '12,4.3,(Aug '11)
,,Volume of Sales(% g.r.),,,-0.2,,5.6,,4.1,,15.6,,C.,"Lending Rate (Low, %)",5.5,(Aug '12),5.7,(Jul '12),5.7,Jan - Aug '12,5.8,(Aug '11)
,,Weighted Ave. Capacity Utilization (%),,,0.1,,0.3,,0.4,,0.1,,,,Latest ,,                Preceding,,Year to,,                      Same Week,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Week,,               Week,,   Date,,                      Year Ago,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,D.,BSP Overnight Borrowing Policy Rates(RP),5.8,(24 Sept '12),5.8,(17 Sept '12),5.8,,6.5,(24 Sept '11)
,,Residential,,,4.3,(Jul '12),4.2,(Jun '12),7.3,(Jan-Jul '12),-5.8,(Jul '11),E.,BSP Overnight Lending Policy Rates(RRP),3.8,(24 Sept '12),3.8,(17 Sept '12),3.8,,4.5,(24 Sept '11)
,,Commercial,,,5.5,,6.3,,7.4,,2.4,,F.,91-Day T-Bill Rate (%),0.7,(17 Sept '12),1.2,(03 Sept '12),1.7,,0.7,(21 Sept '11)
,,Industrial,,,18.7,,16.2,,15.2,,8,,G.,"Forex (Average, P:$1)",41.7,(26 Sept '12),41.7,(19 Sept '12),42.6,,43.8,(26 Sept '11)
,,Others,,,-9.9,,-9.2,,-9.8,,2.5,,H. ,PSEi,"5,325.20",(25 Sept '12),"5,331.10",(18 Sept '12),"5,052.00",,"3,886.00",(23 Sept '11)
,,Total,,,8.9,,8.3,,9.6,,1.2,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,,                     Same Month/Quarter,
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,,,               Month/Quarter,,                 Month/Quarter,,   Date,,                     Year Ago,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,A.,Merchandise Exports (% g.r.),6, (Jul '12) ,4.3, (Jun '12) ,7.4,Jan- Jul '12,-1,(Jul '11)
,,Number of Permits,,,4.4,(Q1 '12),7.6,(Q4 '11),4.4,(Q1 '12),-5.5,(Q1 '11),, - Electronic Products/d (% g.r.),-25.6,,-14.6,,-7.2,,-21.3,
,,Value of Construction,,,-6.8,,-8.4,,-6.8,,11.6,,B.,Merchandise Imports (% g.r.),-0.8, (Jul '12) ,13, (Jun '12) ,0.2,Jan-Jul '12,6.7,(Jul '11)
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,,- Raw mat. & intermediate goods (% g. r.),-2.7,,5.4,,-17.1,,-9.6,
,,,,,Period,,Period,,Date,,Year Ago ,,,- Capital goods (% g. r.),10.6,,62.8,,20.9,,-7.3,
,,Total Approved Foreign Direct Investment,,,9.4,(Q2'12),-16.3,(Q1'12),0.4,(Jan-Jun '12),192.5,(Q2'11),C.,Current Account ($ M),"2,831",(Q2 '12),844,(Q1 '12),"3,675",Jan-Jun '12,"1,906",(Q2 '11)
,,,BOI Investment,,-24,,53.3,,-7.3,,333.6,,D.,Capital & Financial Accounts ($ M),"-1,541",(Q2 '12),335,(Q1 '12),"-1,206",Jan-Jun '12,70,(Q2 '11)
,,,PEZA Investment,,118.8,,-27.7,,43.6,,152.4,,,"- Direct Investments, net'",-361,,694,,333,,464,
,,,SBMA Investment,,27.6,,139.4,,69.4,,-97.6,,E.,Balance of Payments ($ M),582,(Aug '12),"3,182",(Jul '12),"5,080",Jan- Aug '12,"2,719",(Aug '11)
,,,CDC Investment,,-96.4,,-13.4,,-87,,1524.8,,F.,Gross International Reserves ($ M),"80,728",(end Aug '12)/r,"79,759",(end Jul '12),"80,728",(end Aug '12)/r,"75,941",(Aug '11)
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,,- Months' worth of imports,11.9,,11.7,,11.9,,11.2,
