particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu_general_fund_2013_budget,from_other_sourrce_2013_balance,total
Sources of Funds,Current Appropriations,-,-,-,-,-,-
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,4287311892,10003727748,-,14291039.64,468281.35,14759320.99
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,4287311.89,10003727.75,-,14291039.64,468281.35,14759320.99
Utilization,Medicines,-,-,-,-,-,-
Utilization,Material Supplies  or Fuel,-,-,-,-,113632.4,113632.4
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,81772.95,-,81772.95,151077.05,232850
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,46136.9,46136.9
Utilization,Repair of Motor  Vehicles,-,-,-,-,157435,157435
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,81772.95,-,81772.95,468281.35,550054.3
Utilization,Unutilized Balance,4287311.89,9921954.8,-,14209266.69,-5.82E-11,14209266.69
