particulars_1,particulars_2,ldrrmf_quick_response_fund_qrf_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,5715063.5,13335148.15,-,-,-,19050211.65
Source of Funds,Continuing Appropriation,-,-,-,-,-,-
Source of Funds,Previous Year's Appropriation transferred to the special Trust Fund CY 2010,-,18848987.5,-,-,-,18848987.5
Source of Funds,Previous Year's Appropriation transferred to the special Trust Fund CY 2011,-,-,-,-,-,-
Total Funds Available,-,5715063.5,32184135.65,-,-,-,37899199.15
Utilization,Travelling Expenses,-,6720,-,-,-,-
Utilization,Training Expenses,-,121290,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants",-,178552,-,-,-,-
Utilization,Other Office Supplies Rent Expenses,-,15410,-,-,-,-
Utilization,Rent Expenses,-,14000,-,-,-,-
Utilization,Representation Expenses,-,90000,-,-,-,-
Utilization,Other Maintenance and Operating Expenses,-,30000,-,-,-,-
Total Utilization,-,-,455972,-,-,-,455972
