NEDA updates on the Economy,,,,,,,,,,
As of 17 July 2013,,,,,,,,,,
,,,,,,,,,,
,,,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
I. Real Sector (percent growth),A. National Income (% g.r.)(NSCB),GNI,7.1,(Q1'13),6.4,(Q4'12),7.1,Q1 '13,5.7,(Q1 '12)
,,GDP,7.8,,7.1,,7.8,,6.5,
,,Agriculture,3.3,,4.9,,3.3,,1.1,
,,Industry,10.9,,8.9,,10.9,,5.3,
,,Service,7.0,,6.5,,7.0,,8.4,
,B. Manufacturing (MISSI-NSO) (2000 - based),,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,,Volume of Production (% g.r.),9.7,(May '13),-1.6,(Apr '13),-1.8,(Jan-May '13),-1.9,(May '12)
,,Value of Production (%g.r.),20.4,,8.7,,8.5,,-3.3,
,,Volume of Sales (%g.r.),6.4,,11.0,,3.2,,4.9,
,,Value of Sales (% g.r.),16.8,,22.5,,14.0,,3.4,
,,Weighted Average (Capacity Utilization(%)),83.1,,82.9,,83.0,,82.5,
,C. Electric Consumption (%g.r.) (Meralco kWh Sales),Residential,6.5,(May '13),13.1,(Apr '13),4.0,(Jan-May '13),8.7,(May '12)
,,Commercial,7.5,,9.8,,4.5,,8.9,
,,Industrial,1.4,,4.5,,2.4,,19.7,
,,Others,-1.8,,-1.8,,-0.6,,-8.4,
,,Total,5.3,,9.2,,3.7,,11.8,
,D. Building Permits (% g.r.) (NSO),,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
,,Number of Permits,-17.5,(Q1 '13),13.5,(Q4 '12),-17.5,Q1 '13,4.4,(Q1 '12)
,,Value of Construction,19.3,,53.1,,19.3,,-6.8,
,E. Investment Indicators (% g.r.),,Latest_Period,,Preceding_Period,,Year_to_date,,Same_Period_Year_ago,
,,Total Foreign Direct Investment (g.r.),86.7,(Q1 '13),37.1,(Q4 '12),86.7,(Q1 '13),-16.3,(Q1 '12)
,,BOI Investment (g.r.),-61.2,,4122.6,,-61.2,,53.3,
,,PEZA Investment (g.r.),157.1,,16.8,,157.1,,-27.7,
,,SBMA Investment,-6.5,,-98.9,,-6.5,,139.6,
,,CDC Investment,-98.9,,1048.4,,-98.9,,-13.4,
Employment (NSO-LFS) and Wages,A. Unemployment Rate (%) /f new definition,,7.5,(Apr '13),7.1,(Jan '12),7.5,(Apr '13),6.9,(Apr '12)
,B. Employment Generated ('000),,-21,(Apr '13),606,(Jan '12),-21,(Apr '13),1020,(Apr '12)
,,Agriculture,-624,,-571,,-624,,311,
,,Industry,224,,330,,224,,g,
,,Service,380,,847,,380,,g,
,B. Underemployment Rate (%),,19.2,(Apr '13),20.9,(Jan '12),19.2,(Apr '13),19.3,(Apr '12)
,D. Minimum Wage (in pesos) (NWPC),NCR,419-456,(July '13),419-456,(Jun '13),419-456,(July '13),409-446,(July '12)
,,AOMM,205-349.5,,205-349.5,,205-349.5,,228-349.5,
,E. Index of Compensation Per Employee (QEI-NSCB),Nominal (1978=100),2613.3,(Q4 '12),2509,(Q3 '12),2403.8,(FY '12),2419,(Q4 '11)
,,Constant (1978=100),127.1,(Q4 '12),120.8,(Q3 '12),117.1,(FY '12),121.1,(Q4 '11)
III. Monetary and Banking Sector (%),,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,A. Growth of U/KBs Outside Loans /a,,13.1,(May '13),12,(April '13),13.1,(May '13),13.7,(May '12)
,B. NPL to total loans ratio,,1.867,(Dec '12),1.98,(Nov '12),1.87,(Dec'12),2.23,(Dec '11)
,c. M3 Growth /b,,16.3,(May '13),13.3,(April '13),16.3,(May '13),7.9,(May '12)
IV. Prices ,A. Headline Inflation Rate (%) (NSO) /c,,2.8,(June '13),2.6,(May '13),2.9,(Jan - June '13),2.8,(June '12)
