object of expenditures,program,obligation
20% Development Fund,"Others (Loans Payable-Domestic, LBP",15820559.26
20% Development Fund,Government Center Ground Development Project (Phase 6),-
20% Development Fund,Revenue Generation Program,8510.3
20% Development Fund,Davao Del Norte Scholarship Program,1582146.55
20% Development Fund,Manpower Skills and Development Program,128000
Health Services,Botika Ng Barangay Program,-
Health Services,Provincial Family Planning and Responsible Parenthood Program,-
Health Services,Dental Health Program,8010
Health Services,Provincial Nutrition Program,37488.35
Health Services,Maternal and Child Health Program,11450
Health Services,Women's Health Care Program,3565
Health Services,Male Reproductive Health Program,-
Health Services,Operation of BHW Program,-
Health Services,Community Primary Health Care and Water-Bacteriology Program,-
Health Services,"Provincial Vector Control Program (Malaria, Dengue and Filiarasis)",-
Health Services,Provincial Anti-Rabies Program,87000
Health Services,Provincial TB andd Leprosy Prevention and Control Program,-
Health Services,Mental Health Outreach Program,246657.5
Health Services,Comprehensive Health Outreach Program,106360
Health Services,Population Management Program,-
Health Services,"Philhealth Para Sa Masa ""Universal Coverage""",2000000
Social Sevices Others (7999),Child And Youth Welfare Program,-
Social Sevices Others (7999),Disabled or Differently Abled Persons and Elderly Welfare Program,-
Social Sevices Others (7999),Family and Community Welfare Program,-
Social Sevices Others (7999),Maintenace and Operation of Luntiang Paraiso,681288.85
Economic Services,Agricultural Development Projects (8911),-
Economic Services,Food Based Nutrition Intervention Program,76352
Economic Services,Integrated Production and Pest Managment Program,48293.13
Economic Services,Industrial Crop (Rubber) Production Program,14550
Economic Services,Coffee Development Program,-
Economic Services,Integrated Coastal Resource Management Project,79018.39
Economic Services,Aquaculture for Rural Development,42705
Economic Services,Livestock Dispersal Program,1150
Economic Services,Institutional Development and Agribusiness Support Services,36010.5
Economic Services,Agricultural Support Facilities (Research Support Svcs.),59510.73
Economic Services,Gawad Saka and Ginintuang Masaganang Ani Prog.,4000
Economic Services,On-Farm Research and Development,-
Economic Services,Food Sufficiency Program,21471.54
Economic Services,Mango Research and Extension Program,119410.43
Economic Services,Animal Breeding and Upgrading Program,-
Economic Services,Animal Product and By-Product Utilization Program,-
Economic Services,Rabies Control and Eradication Program,-
Economic Services,Animal Disease Diagnostic Laboratory Services,-
Economic Services,Animal Health Care and Disease Management Program,-
Economic Services,Small Ruminant and Genetic Improvement Program,126084.88
Economic Services,Karst Management Program,-
Economic Services,Ecotourism Development Project,-
Economic Services,Sustainable Upland Development Program,116609.21
Economic Services,Ecological Solid Waste Management Program,63807.92
Economic Services,Repair and Maintenance of Various Provincial Roads and Bridges District I,6205397.13
Economic Services,Repair and Maintenance of Various Provincial Roads and Bridges District II,3987041.61
Economic Services,Repair and Maintenance of Various Local Roads and Drainages,-
Economic Services,Rural Electrification Project,-
Economic Services,Construction or Completion of Government Buildings or Structures or Facilities,-
Total 20% Development Fund Utilization,Total 20% Development Fund Utilization,31722448.28
