object expenditures,programs,obligation
20% Development Fund Utilization,"Others (Loans Payable - Domestic, LBP)",32136169.01
20% Development Fund Utilization,"Repair and Maintenance of Various Government Buildingsd or Facilities-Perimeter Fence Repainting: Mankilam, Tagum City",500000
20% Development Fund Utilization,Repiar and Maintenance of Various Government Buildingsd or Facilities- Repainting of Capitol Building (Exterior),433499.75
20% Development Fund Utilization,Repair and Maintenance of Various Government Buildingsd or Facilities-Parking Area Car Shed,250000
20% Development Fund Utilization,Repair and Maintenance of Various Government Buildingsd or Facilities- Government Center Ground Development Project (Ph. 6),-
20% Development Fund Utilization,Revenue Generation Program,86544.22
20% Development Fund Utilization,Davao Del Norte Scholarship Program,2991060.62
20% Development Fund Utilization,Manpower Skills and Development Program,350294
Health Services,Botika Ng Barangay Program,343216.9
Health Services,Provincial Family Planning and Responsible Parenthood Program,40320
Health Services,Dental Health Program,195950
Health Services,Provincial Nutrition Program,141445.23
Health Services,Maternal and Child Health Program,62062.5
Health Services,Women's Health Care Program,10393.6
Health Services,Male Reproductive Health Program,69982.5
Health Services,Operation of BHW Program,7500
Health Services,Community Primary Health Care and Water Bacteriology Program,63562.5
Health Services,"Provincial Vector Control Program (Malaria, Dengue and Filiarasis)",-
Health Services,Provincial Anti-Rabies Program,665025
Health Services,Provincial TB and Leprosy Prevention and Control Prog.,30250
Health Services,Mental Health Outreach Program,471549.5
Health Services,Comprehensive Health Outreach Program,405842.9
Health Services,Population Management Program,30300
Health Services,"Philhealth Para aa Masa ""Universal Coverage""",2005000
Social Services Others (7999),Child and Youth Welfare Program,600098.7
Social Services Others (7999),Disabled or Differently Abled Persons and Elderly Welfare Program,101723
Social Services Others (7999),Family and Community Welfare Program,-
Social Services Others (7999),Maintenance and Operation of Luntiang Paraiso,1355873.36
Economic Services Agricultural Development Projects (8911),Food Based Nutrition Intervention Program,165036.5
Economic Services Agricultural Development Projects (8911),Integrated Production and Pest Management Program,162071.62
Economic Services Agricultural Development Projects (8911),Industrial Crop (Rubber) Production Program,45476
Economic Services Agricultural Development Projects (8911),Coffee Development Program,259305.8
Economic Services Agricultural Development Projects (8911),Integrated Coastal Resource Management Project,171387.32
Economic Services Agricultural Development Projects (8911),Aquaculture for Rural Development,174494.13
Economic Services Agricultural Development Projects (8911),Livestock Dispersal Program,52654.8
Economic Services Agricultural Development Projects (8911),Institutional Development and Agribusiness Support Services,113475.64
Economic Services Agricultural Development Projects (8911),Agricultural Support Facilities (Research Support Svcs.),268546.8
Economic Services Agricultural Development Projects (8911),Gawad Saka and Ginintuang Masaganang Ani Prog,136258
Economic Services Agricultural Development Projects (8911),On-Farm Research and Development,149611
Economic Services Agricultural Development Projects (8911),Food Sufficiency Program,109270.35
Economic Services Agricultural Development Projects (8911),Mango Research and Extension Program,278692.84
Economic Services Agricultural Development Projects (8911),Animal Breeding and Upgrading Program,84453.25
Economic Services Agricultural Development Projects (8911),Animal Product and By-Product Utilization Program,1150
Economic Services Agricultural Development Projects (8911),Rabies Control and Eradication Program,76000
Economic Services Agricultural Development Projects (8911),Animal Disease Diagnostic Laboratory Services,3600
Economic Services Agricultural Development Projects (8911),Animal Health Care and Disease Management Program,359475
Economic Services Agricultural Development Projects (8911),Small Ruminant and Genetic Improvement Program,362420.96
Economic Services Agricultural Development Projects (8911),Karst Management Program,46800
Economic Services Agricultural Development Projects (8911),Ecotourism Development Project,170750
Economic Services Agricultural Development Projects (8911),Sustainable Upland Development Program,213935.55
Economic Services Agricultural Development Projects (8911),Ecological Solid Waste Management Program,154702.76
Economic Services Agricultural Development Projects (8911),Repair and Maintenance of Various Provincial Roads and Bridges District I,15256432.87
Economic Services Agricultural Development Projects (8911),Repair and Maintenance of Various Provincial Roads and Bridges District 2,8125717.61
Economic Services Agricultural Development Projects (8911),Repair and Maintenance of Various Local Roads and Drainages,1770000
Economic Services Agricultural Development Projects (8911),Rural Electrification Project,-
Economic Services Agricultural Development Projects (8911),Construction or Completion of Government Buildings or Structures or Facilities,195236.08
Total 20% Development Fund Utilization,-,72191055.67
