particular_1,particular_2,lrrrmf_quick_response_fund_(qrf)_30%,lrrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,5561005.85,12975680.3,18536686.15, - , - ,18536686.15
Sources of Funds,Continuing Appropriations,-,5641406.07,5641406.07, - , - ,5641406.07
Sources of Funds,Previous Year's Appropritions transferred to the Special Trust Fund,-,11292892.32,5641406.07, - , - ,-
Sources of Funds,Transfers/Grants,-,-,-, - , - ,-
Total Funds Available,Total Funds Available,5561005.85,29909978.69,29819498.29, -   , -   ,24178092.22
Utilization,Medicines,-,-,-, - , - ,0
Utilization,Food Supplies,930000,561169,1491169, - , - ,1491169
Utilization,Repair of Evacuation Center,-,-,-, - , - ,0
Utilization,Trainings,-,-,-, - , - ,0
Utilization,Construction of Evacuation Center,-,-,-, - , - ,0
Utilization,Equipment,-,-,-, - , - ,0
Utilization,Transfers to other LGUs,-,-,-, - , - ,0
Total Utilization,Total Utilization,930000,561169,1491169, -   , -   ,1491169
Unutilized Balance,Unutilized Balance,4631005.85,29348809.69,28328329.29, -   , -   ,22686923.22
