particular_1,particular_2,particular_3,particular_4,general_fund_1,general_fund_2,trust_fund,total
Calamity Fund,"GF-2013 (334, 121, 206 x 5%)","GF-2013 (334, 121, 206 x 5%)","GF-2013 (334, 121, 206 x 5%)",16706060.3,-,-,16706060.3
Calamity Fund,"GF-2012 (308, 784, 437 x 5%)","GF-2012 (308, 784, 437 x 5%)","GF-2012 (308, 784, 437 x 5%)",-,15439221.85,-,15439221.85
Calamity Fund,TF-Begining Balance-01/20/2012,TF-Begining Balance-01/20/2013,TF-Begining Balance-01/20/2014,-,-,475732.36,475732.36
Calamity Fund,TF-Transferred-06/2012,TF-Transferred-06/2013,TF-Transferred-06/2014,-,-,7920582.2,7920582.2
Total LDRRMF,Total LDRRMF,Total LDRRMF,Total LDRRMF,16706060.3,15439221.85,8396314.56,40541596.71
Les: Disbursement,Pre-Disaster Preparedness Programs,Ameg Construction and Supply,"4th and fffinal payment for the  rehabilitation of various inffrastructure projects, Tabaco City",-,-,387262.16,387262.16
Les: Disbursement,Pre-Disaster Preparedness Programs,"Cinemar Traders, Inc.",Payment for 1 unit Honda Wave 125,-,-,63900,63900
Les: Disbursement,Pre-Disaster Preparedness Programs,CPQ Computer Center,Payment for the purchased of computers and IT Equiment or Accessories,-,-,35350,35350
Les: Disbursement,Pre-Disaster Preparedness Programs,"Christian ""Hauz off Uniform"" ","16 pcs. Overall, rescue uniform",-,19200,-,19200
Les: Disbursement,Pre-Disaster Preparedness Programs,National Food Authority ,Payment for 200 snacks NFA Rice,250000,-,-,250000
Les: Disbursement,Pre-Disaster Preparedness Programs,"Lucky Educational Supply, Inc.",Payment for 1 unit Fax Machine,-,-,7470,7470
Les: Disbursement,Pre-Disaster Preparedness Programs,"Christian ""Hauz off Uniform"" ",Payment for the purchase off Safety Shoes or Overall Rescue Uniform,-,-,67900,67900
Les: Disbursement,Pre-Disaster Preparedness Programs,CPQ Computer Center,Payment for 1 set computer,-,32680,-,32680
Les: Disbursement,Pre-Disaster Preparedness Programs,Roberto Basallote ,RER-TEV,-,16800,-,16800
Les: Disbursement,Pre-Disaster Preparedness Programs,Frederick Bassalote,RER-TEV,-,4800,-,4800
Les: Disbursement,Pre-Disaster Preparedness Programs,"Edelcom Ent., Inc.",Payment for 4 Handheld Radio and 1 Mobile Radio Commercial Type,-,63200,-,63200
Les: Disbursement,Pre-Disaster Preparedness Programs,"Edelcom Ent., Inc.",Payment for 19 Handheld Radio and 2 Mobile Radio Commercial Type,-,-,263350,263350
Les: Disbursement,Post-Disaster Programs,Post-Disaster Programs,Post-Disaster Programs,-,-,-,-
Les: Disbursement,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-,-,-
Total Disbursement or Expenses,Total Disbursement or Expenses,Total Disbursement or Expenses,Total Disbursement or Expenses,250000,136680,825232.16,1211912.16
"Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012",16456060.3,15302541.85,7571082.4,39329684.55
