particular_1,particular_2,particular_3,particular_4,general_fund,trust_fund,total
Calamity Fund,"GF-Current (308, 784, 437 x 5%)","GF-Current (308, 784, 437 x 5%)","GF-Current (308, 784, 437 x 5%)",15439221.85,-,15439221.85
Calamity Fund,TF-Begining Balance 01/20/2012,TF-Begining Balance 01/20/2013,TF-Begining Balance 01/20/2014,-,475732.36,475732.36
Calamity Fund,TF-Transferred-06/2012,TF-Transferred-06/2013,TF-Transferred-06/2014,-,7920582.2,7920582.2
Total LDRRMF,Total LDRRMF,Total LDRRMF,Total LDRRMF,15439221.85,8396314.56,23835536.41
Les: Disbursement,Pre-Disaster Preparedness Programs,Ameg Const. and Supply,"4th and fffinal payment for the  rehabilitation of various inffrastructure projects, Tabaco City",-,387262.16,387262.16
Les: Disbursement,Pre-Disaster Preparedness Programs,"Cinemar Traders, Inc.",Payment for 1 unit Honda Wave 125,-,63900,63900
Les: Disbursement,Pre-Disaster Preparedness Programs,CPQ Computer Center,Payment for the purchased of computers and IT Equiment or Accessories,-,35350,35350
Les: Disbursement,Post-Disaster Programs,Post-Disaster Programs,Post-Disaster Programs,-,-,-
Les: Disbursement,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-,-
Total Disbursement or Expenses,Total Disbursement or Expenses,Total Disbursement or Expenses,Total Disbursement or Expenses,-,486512.16,486512.16
"Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012","Fund Balance as of September 30, 2012",15439221.85,7909802.4,23349024.25
