indicator_1,indicator_2,2007,2008,2009,2010,2011
Workers Assistance-Worksites Visitation,Worksites Visits Conducted, NA , NA , NA ,776,178
Workers Assistance-Worksites Visitation,Workers Reached, NA , NA , NA ,14454,8884
Workers Assistance-Prisons/Deportation Centers Visitation,Visit Conducted, NA ,864,622,1316,887
Workers Assistance-Prisons/Deportation Centers Visitation,Workers Reached,1714,3896,2368,5525,4216
Workers Assistance-Hospitals Visitation,Hospitals Visit Conducted, NA ,562,359,1284,849
Workers Assistance-Hospitals Visitation,Workers Reached,747,1060,744,1388,1072
Cases Management,New Cases Handled,121083,85564,77424,66653,25348
Cases Management,Cases Carry-Over from,14371,9563,11237,20622,13122
Cases Management-Previous Month,Cases Resolved,100601,80607,68883,61312,20125
Cases Management-Previous Month,Workers Served, NA , NA , NA ,79999,9753
