program_project_1,program_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Purchase of Buoys and Markers,Burboanan,200000, January 2014, December 2014,99.75%,199500,-,-
Social Development,Const. of Mezzanice Floor at GSO,Poblacion,450000,-,-,  ,-,-,-
Social Development,Completion of Perimeter Fence-Slaughterhouse,Cumawas,750000,-, ,-,-,-,-
Social Development,Const of Covered Court (Phase III),Poblacion,2500000,-,-,-,-,-,-
Social Development,Const. of Madrasah Covered Court,Mangagoy,200000,-,-,-,-,-,-
Social Development,Const. of Guardhouse,Poblacion,300000,-,-,-,-,-,-
Social Development,Impv't. of School Library and Science Room-MSES,Mangagoy,200000,-,-,-,-,-,-
Social Development,Dev't. of Core Shelter II Project,Poblacion,4051932.34,-,-,-,-,-,-
Social Development,Maintenance of Roads and Bridges,All Barangays,6000000, January 2014, December 2014,17.64%,1058178.31,-,-
Social Development,Zonification-BCW and Redelineation of MPA's,"Mangagoy, Tabon",1000000,-, ,-,-,-,-
Social Development,Unified LGU Computerization Program,Poblacion,2000000, January 2014, December 2014,10.50%,210000,-,-
Social Development,PHILHEALTH for 2000 Indigents,All Barangays,5386300, January 2014, December 2014,44.30%,2386300,-,-
Social Development,Kanami PHILHEALTH,All Barangays,2100000, January 2014, December 2014,38.09%,800000,-,-
Total Social Dev't. Program or Project,Total Social Dev't. Program or Project,25138232.34,-,-,-,-,4653978.31,-,-
Economic Development,Const. of Livestock or Auction Center Phase II,Poblacion,1500000,-,-,-,-,-,-
Economic Development,Completion of Farmer's Training Center,Poblacion,1000000,-,-,-,-,-,-
Economic Development,Concreting of GK Bongaitan Road,Mangagoy,1000000,-,-,-,-,-,-
Economic Development,Concreting of Montero St. Sidewalk,Poblacion,1000000,-,-,-,-,-,-
Economic Development,Riprapping of Riverbank (Tinuy-an),Burboanan,500000,-,-,-,-,-,-
Economic Development,Barangay Infrastructure Program,All Barangays,14400000, January 2014, December 2014,4.86%,700000,-,-
Economic Development,Post Harvest Facilities,"San Isidro, Mone",1000000,-,-,-,-,-,-
Economic Development,Installation of Bio-Digester,Sta. Cruz,100000, January 2014, December 2014,59.82%,59824.58,-,-
Economic Development,Improvement of Piggery,Sta. Cruz,200000,-,-,-,-,-,-
Economic Development,Goat Shed Improvement,Sta. Cruz,200000,-,-,-,-,-,-
Economic Development,Repair and Maint. Of Irrigation Canal or Drainage,"San Isidro, Mone",1000000, January 2014, December 2014,78.08%,780855,-,-
Economic Development,Vegetable and Rootcrop Production,Sta. Cruz,300000, January 2014, December 2014,93.10%,279315,-,-
Economic Development,Rice Seed Production,"San Isidro, Mone",1000000, January 2014, December 2014,81.82%,818222.43,-,-
Economic Development,Corn Production,"Burboanan, San  Roque",300000, January 2014, December 2014,79.63%,238897.75,-,-
Economic Development,Livestock and Poultry Production,Sta. Cruz,500000, January 2014, December 2014,88.98%,444895.57,-,-
