particulars,account_name,appropriation,expenditures,balance
MOOE 1919-200,"Loan Amortization for Heavy Road, Building or Equipment",25700000,13968193.64,11731806.36
MOOE 1919-200,Streetlighting along Center Island,1500000,-,1500000
MOOE 1919-200,"Repairs and Maintenance-Roads, highway",6000000,2349915.8,3650084.2
MOOE 1919-200,"Repairs and Maintenance-Irrigation, Canal",1300000,342470,975530
MOOE 1919-200,Repair of Mone Irrigation Dam,400000,22730.9,377269.1
MOOE 1919-200,Vegetable and Root Crops Production,1000000,361470,638530
MOOE 1919-200,Rice Seed Production,1000000,275488,724512
MOOE 1919-200,Corn Production,500000,172625,327375
MOOE 1919-200,Tilapia and Pangasius Production,500000,218475,281525
MOOE 1919-200,RIC Livelihood Program ,100000,-,100000
MOOE 1919-200,Veterinary Disease Treatment or Prevention,200000,-,200000
MOOE 1919-200,Upgrading of Farm Animals,100000,-,100000
MOOE 1919-200,Forest Protection Programs,1500000,448020,1051980
MOOE 1919-200,Forest Mangrove Nursery Program,500000,123962.25,376037.75
MOOE 1919-200,Reforestation Program,500000,162962,337038
MOOE 1919-200,Solid Waste Management Program,6000000,1888393,4111607
MOOE 1919-200,Katarungang Pambarangay,200000,-,200000
MOOE 1919-200,Total MOOE,47000000,20334705.59,26665294.41
Capital Outlay 1918-300,Marketsite and Bongaitan Development Program Phase II,2000342,-,2000342
Capital Outlay 1918-300,Completion of Covered Court of Poblacion (Bleacher),2000000,-,2000000
Capital Outlay 1918-300,Establishment of Feedmill (Equity),500000,-,500000
Capital Outlay 1918-300,Construction of Center Island Poblacion and San Fernando,3687000,-,3687000
Capital Outlay 1918-300,Concreting of GK Bongaitan Road Phase III,1000000,-,1000000
Capital Outlay 1918-300,Concreting of Road - Post 12 to PICOP Comp. Phase II,2000000,-,2000000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - P2 Riverside,200000,-,200000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Bosco Road,1500000,-,1500000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Requina Extension Bosco,400000,-,400000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Laurente Street Poblacion,1000000,-,1000000
Capital Outlay 1918-300,Barangay Infastructure Programs,12000000,940000,11060000
Capital Outlay 1918-300,Total Capital Outlay,26287342,940000,25347342
