particulars,account_name,appropriation,expenditures,balance
MOOE 1919-200,Loan Amortization for Heavy Road or Equipment,25700000,6527530.65,19172649.35
MOOE 1919-200,Streetlighting along Center Island,1500000,-,1500000
MOOE 1919-200,"Repairs and Maintenance-Roads, highway",6000000,166740,5833260
MOOE 1919-200,"Repairs and Maintenance-Irrigation, Canal",1300000,59730,1240270
MOOE 1919-200,Repair of Mone Irrigation Dam,400000,-,400000
MOOE 1919-200,Vegetable and Rootcrops Production,1000000,16210,983790
MOOE 1919-200,Rice Seed Production,1000000,35760,964240
MOOE 1919-200,Corn Production,500000,-,500000
MOOE 1919-200,Tilapia and Pangasius Production,500000,-,500000
MOOE 1919-200,RIC Livelihood Program ,100000,-,100000
MOOE 1919-200,Veterinary Disease Treatment or Prevention,200000,-,200000
MOOE 1919-200,Upgrading of Farm Animals,100000,-,100000
MOOE 1919-200,Forest Protection Programs,1500000,211880,1288120
MOOE 1919-200,Forest Mangrove Nursery Program,500000,37640,462360
MOOE 1919-200,Reforestation Program,500000,-,500000
MOOE 1919-200,Solid Waste Management Program,6000000,390820,5609180
MOOE 1919-200,Katarungang Pambarangay,200000,-,200000
MOOE 1919-200,Total MOOE,47000000,7446310.65,39553689.35
Capital Outlay 1918-300,Marketsite and Bongaitan Development Program Phase II,2000342,-,2000342
Capital Outlay 1918-300,Completion of Covered Court of Poblacion (Bleacher),2000000,-,2000000
Capital Outlay 1918-300,Establishment of Feed Mill (Equity),500000,-,500000
Capital Outlay 1918-300,Construction of Center Island Poblacion and Sa,3687000,-,3687000
Capital Outlay 1918-300,Concreting of GK Bongaitan Road Phase II,1000000,-,1000000
Capital Outlay 1918-300,Concreting of Road - Post 12 to PICOP Comp. Phase II,2000000,-,2000000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - P2 Riverside,200000,-,200000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Bosco Road,1500000,-,1500000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Requina Extension JB,400000,-,400000
Capital Outlay 1918-300,Construction of Drainage Canal with Cover - Laurente Street Poblacion,1000000,-,1000000
Capital Outlay 1918-300,Barangay Infastructure Programs,12000000,250000,11750000
Capital Outlay 1918-300,Total Capital Outlay,26287342,250000,26037342
