particulars_1,particulars_2,appropriation,obligation,balances
MOOE,"Repair and Maintenance-Roads, Highways and Bridges",6000000,4061827.11,1938172.89
MOOE,"Repair and Maintenance-Irrigation, Canal, Lateral",1500000,665970.61,834029.39
MOOE,Repair of Riverbank Protection-Mgy/Tabon,2000000,-,2000000
MOOE,Vegetable and Rootcrop Production,2000000,834778,1165222
MOOE,Rice Seed Production,500000,191844.95,308155.05
MOOE,Corn Production,500000,143982.5,356017.5
MOOE,Tilapia and Pangasis Program,1000000,442900.73,557099.27
MOOE,Organic Fertilizer Production,900000,226947.45,673052.55
MOOE,Swine Restocking,1000000,56715.2,943284.8
MOOE,Livestock and Poultry Program,1000000,355122.1,644877.9
MOOE,Forest Production Program,1407000,791377,615623
MOOE,Forest Nursery Program,350000,178210,171790
MOOE,Mangrove Developmet Project,500000,20000,480000
MOOE,Restoration Program,500000,-,500000
MOOE,Solid Waste Management Program,6000000,3154275.76,2845724.24
MOOE,Katarungan Pambarangay,300000,-,300000
MOOE,Total,25457000,11123951.41,14333048.59
Capital Outlay,"Electrification, Power and Energy Structure",1800000,-,1800000
Capital Outlay,Cemetery Streetlightd (additional wiring),53000,-,53000
Capital Outlay,Acquisition of heavy Equipment-loan Amort.,9376912.62,1314506.18,8062406
Capital Outlay,Construction of Covered Court - Madrasah,500000,-,500000
Capital Outlay,Construction of Vegetable Dropping Zone (Bagsakan),1000000,-,1000000
Capital Outlay,"Construction of 50 un, CFCANCOP Housig Project",3500000,-,3500000
Capital Outlay,Construction of Home for the Aged,1000000,-,1000000
Capital Outlay,Construction of Slope Protection - TB Birthing,483000,-,483000
Capital Outlay,Improvement of Terminal and Food Court Site,3000000,-,3000000
Capital Outlay,Concreting of Gawad Kalinga Bongaitan Road,1000000,8515.15,991484.85
Capital Outlay,re-blocking of RB Castillo Street,1000000,21988,978012
Capital Outlay,Construction of Port 12 to PICOP Compound Phase 1,2000000,-,2000000
Capital Outlay,Widening - Panaguisa Road Entrance,2000000,-,2000000
Capital Outlay,Construction of Montero Street Sidewalk Poblacion,1000000,5130,994870
Capital Outlay,Market Site and Bongaitan Development Project Phase 1,3500000,-,3500000
Capital Outlay,Construction of P4 San Fernando Bridge,500000,-,500000
Capital Outlay,Construction of P4 San Fernando Bridge (Additonal),500000,-,500000
Capital Outlay,Construction of Triple Cell-Polacion San Isidro FMR,2200000,-,2200000
Capital Outlay,Rehabilitation of Sibaroy-Pamaypayan Road,1024422.56,-,1024422.56
Capital Outlay,Construction of Mangagoy Entrance Rotunda,2000000,-,2000000
Capital Outlay,Barangay Park and Development for 24 Barangay,1300000,-,1300000
Capital Outlay,Fire Protection Pump and Gravity Meter Tank,120000,-,120000
Capital Outlay,Construction of Canal Drainage at BCNHS,500000,-,500000
Capital Outlay,Construction of Canal Cover at John Bosco Road,2000000,27980,1972020
Capital Outlay,Construction of Drainage Canal witg Cover-Laurente Street,1000000,-,1000000
Capital Outlay,Construction of Drainage Canal with Cover-Abarca Street,600000,-,600000
Capital Outlay,Construction of Drainage Canal with Cover-RB Castillo,350000,-,350000
Capital Outlay,Completion of Home for Girls-Drainage Fence,460000,-,460000
Capital Outlay,Support to 24 Barangays,12000000,2733201,9266799
Capital Outlay,Barangay Development Program,2400000,-,2400000
Capital Outlay,Construction of Fish Dropping Zone (Bagsakan),1500000,-,1500000
Capital Outlay,Construction Unloading Bay at Slaughterhouse,500000,-,500000
Capital Outlay,Construction of Purok 4-Gamaon Resevior,315000,-,315000
Capital Outlay,Deficiency CY 2000,891.4,-,891.4
Capital Outlay,Total,60483226.58,4111320.33,56371905.81
SEF-Personal Service,Honorarium 39 Elementary and Highschool Teacher at 7000,2730000,1372155.55,1357844.45
SEF-Personal Service,Cash Gift,195999,-,195999
SEF-Personal Service,Total,2925999,1372155.55,1553843.45
SEF-MOOE,Traveling Expenses,200000,60566,139434
SEF-MOOE,Traveling Expenses - Support to CTO,45000,45000,-
SEF-MOOE,Travel - STEP YECS Science and Math Press Con,450000,373679,76321
SEF-MOOE,Training Expenses,500000,-,500000
SEF-MOOE,Office Supplies - Support to CTO,25000,23694,1306
SEF-MOOE,Training Expenses - Support to CTO,30000,15127,14873
SEF-MOOE,Medical Supplies for School Clinic,100000,-,100000
SEF-MOOE,"Fuels, Oil and Lubricants - Support to CTO",35000,34856.49,143.51
SEF-MOOE,Electricity Expenses,500000,486912.64,13087.36
SEF-MOOE,Repair and Maintenance of Vehicle - Support to CTO`,15000,-,15000
SEF-MOOE,Yearly Division Assessment Program,279280.64,-,279280.64
SEF-MOOE,"Participants - Division, Regional and National Press",395000,-,395000
SEF-MOOE,Participants - STEP YECS Competition,100000,-,100000
SEF-MOOE,Science and Math Fair and Quiz Intel Fair,200000,-,200000
SEF-MOOE,Balagtasan/Tagisan ng Talina Pop Quiz,59100,-,59100
SEF-MOOE,Medical Allowance for Physical Examination,270900,-,270900
SEF-MOOE,ALS - Literary Activities and Livelihood Training,225000,1706.64,223293.36
SEF-MOOE,Support to BCNHS Computerization Program,100000,6826.56,93173.44
SEF-MOOE,Support to Operation and Maintenance of Public Schools,785000,-,785000
SEF-MOOE,Total,4314280.64,1048368.33,3265912.31
SEF_Capital Outlay,Computers,141871.21,-,141871.21
SEF_Capital Outlay,Preparatory Works - Division Office - Acces Road and Perimeter Fence,1000000,-,1000000
SEF_Capital Outlay,Total,1141871.21,-,1141871.21
