,,,,,,,,,,Annex 3-N,,,,,,,,
,,,,,,,,,,,,,,,,,,
CY 2011 LIST OF ODA GRANTS,,,,,,,,,,,,,,,,,,
(Figures in US$M),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Project_Title,Development_Partner,Implementing_Agency,Grant_Amount_in_Donor's_Currency,"Grant_Amount 
(US$M)",Cumulative_Disbursement_in_Donor's_Currency,"Cumulative_Disbursement
(US$M)","Project 
Start Date",Project_Closing_Date,Sector,Region,Region,Type_Class,Type,Status,,,,
ADB,,,,,,,,,,,,,,,,,,
Integrated Coastal Resources Management,ADB,DENR,9.00,9.00,9.00,2.78,29-Jan-07,30-Jun-13,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Developing Microinsurance Project (JFPR),ADB,trainings to be conducted by NCC,1.00,1.00,0.00,0.00,15-Feb-08,30-Sep-12,"Industry, Trade and Tourism",Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Philippine Energy Efficiency Project,ADB,DOE,1.50,1.50,0.21,0.21,28-May-09,31-Oct-11,Infrastructure,Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Tropical Storm Washi (Sendong) Project,ADB,DOF,3.00,3.00,3.00,3.00,26-Dec-11,23-Jun-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Enhancing Midwives' Entrepreneurial and Financial,ADB,DBP,0.40,0.40,0.17,0.17,27-Nov-09,30-Jun-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Typhoon Ketsana (Ondoy) Project,ADB,DOF,3.00,3.00,3.00,3.00,01-Oct-09,31-Mar-10,Social Reform and Community Development,Multi-regional,Specific regions not identified,Mixed,Grant,,,,,
Agusan River Basin Integrated Water Resources Management,ADB,DENR,1.18,1.18,1.03,1.03,19-Jun-09,30-May-11,"Agriculture, Agrarian Reform and Natural Resources",XIII,XIII,Mixed,Grant,,,,,
Mitigation of Climate Change through Increased Energy Efficiency and Use of Clean Energy,ADB,DOE,0.93,0.93,0.31,0.31,24-Feb-11,30-Aug-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TA,TA,,,,,
Decentralized Framework for Sustainable Natural Resources and Rural Infrastructure Management,ADB,DENR,1.30,1.30,0.15,0.15,18-Jan-11,30-Dec-13,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TA,TA,,,,,
Irrigation System Operation Efficiency Improvement,ADB,NIA,1.00,1.00,0.96,0.96,06-Nov-08,31-Aug-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TA,TA,,,,,
Integrated Natural Resources and Environmental Management Sector Development Program,ADB,DENR,1.14,1.14,0.99,0.99,10-Sep-08,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TA,TA,,,,,
Support to Local Government Financing,ADB,DOF-BLGF,0.70,0.70,0.34,0.34,29-Jan-10,30-Jun-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Improving Public Expenditure Management 2,ADB,DBM,0.80,0.80,0.47,0.47,15-Jan-10,30-Sep-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Support to Policy Formulation to the Philippines,ADB,NEDA,0.23,0.23,0.17,0.17,12-Aug-09,31-Mar-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Supporting Governance in Justice Sector Reform in the Philippines,ADB,SC,2.00,2.00,1.26,1.26,10-Jan-09,31-May-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
