code,functions_or_programs,projects_or_activities,apppropriations,allotments,appropriations_balance_or_(Deficit),obligations,unobligated_balances
751,Maintenance and Other Operating Expenses,Travelling Expenses - local,456900,331900,125000,-,331900
753,Maintenance and Other Operating Expenses,Training Expenses,500000,375000,125000,-,375000
755,Maintenance and Other Operating Expenses,Office Supplies Expenses,500000,375000,125000,-,375000
758,Maintenance and Other Operating Expenses,Food Supplies Expenses,6105050,6105050,-,5480050,625000
759,Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,2800000,2300000,500000,1755628.8,544371
760,Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expenses",900000,900000,-,-,900000
761,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",600000,500000,100000,-,500000
762,Maintenance and Other Operating Expenses,Agricultural Supplies Expenses,200000,175000,25000,,175000
765,Maintenance and Other Operating Expenses,Other Supplies Expenses,800000,633333,166667,542000,91333
783,Maintenance and Other Operating Expenses,Representation Expenses,375000,375000,-,56700,318300
799,Maintenance and Other Operating Expenses,Other Professional Services,1000000,750000,250000,-,750000
802,Maintenance and Other Operating Expenses,Repairs and Maintenance - Land Improvements,8088000,6338000,1750000,4928796.89,1409203
826,Maintenance and Other Operating Expenses,Repairs and Maintenance - Machineries,1000000,750000,250000,,750000
829,Maintenance and Other Operating Expenses,Repairs and Maintenance -Communication Equipment,1000000,750000,250000,-,750000
841,Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,500000,-,500000,-,-
851,Maintenance and Other Operating Expenses,"Repairs and Maintenance - Road, Highways and Bridges",4200000,1700000,2500000,758160,941840
860,Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Public Infrastructures,6000000,5500000,500000,4057694.31,1442306
874,Maintenance and Other Operating Expenses,Subsidy to Local Government Units,18670950,16170950,2500000,15170000,1000950
876,Maintenance and Other Operating Expenses,Suubsidy to NGOs or POs,4800000,3800000,1000000,-,3800000
878,Maintenance and Other Operating Expenses,Donations,1249000,749000,500000,40000,709000
969,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating,505100,505100,-,143400,361700
215,Capital Outlay,Other Structures,500000,500000,,-,500000
221,Capital Outlay,Office Equipment,500000,500000,,-,500000
223,Capital Outlay,IT Equipment and Software,500000,500000,,-,500000
229,Capital Outlay,Communication Equipment,500000,500000,,-,500000
241,Capital Outlay,Motor Vehicles,500000,500000,,-,500000
244,Capital Outlay,Watercrafts,700000,700000,,408000,292000
250,Capital Outlay,"Other Property, Plant and Equipment",500000,500000,,-,500000
-,Grand Total,Grand Total,63950000,52783333,11166667,33340430,19442903
