particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_(qrf)_30%,ldrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_ources,total
January,Sources of Funds,Current Approp,4756765.5,11099119.5,-,-,-,15855885
January,Sources of Funds,Continuing Approp,4243696.5,8370716.5,-,-,-,12614413
January,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
January,Sources of Funds,Transfers or Grants,-,-,-,-,-,-
January,Total Funds Available,Total Funds Available,9000462,19469836,-,-,-,28470298
January,Utilization,Travelling,-,-,-,-,-,-
January,Utilization,Training,-,35000,-,-,-,35000
January,Utilization,Office supplies,-,-,-,-,-,-
January,Utilization,Animal Supplies,-,-,-,-,-,-
January,Utilization,Food Supplies,-,-,-,-,-,-
January,Utilization,Drugs and Medicines,-,-,-,-,-,-
January,Utilization,"Gasoline, Oil and Lubricants",-,-,-,-,-,-
January,Utilization,R/M-Other Structures,-,-,-,-,-,-
January,Utilization,Other OMOE-Calamity,-,-,-,-,-,-
January,Utilization,General Services,-,-,-,-,-,-
January,Utilization,IT Equipment and Software,-,-,-,-,-,-
January,Utilization,Communication Equipment,-,-,-,-,-,-
January,Utilization,Other PPE,-,-,-,-,-,-
January,Utilization,Transfer to Other LGU's,-,-,-,-,-,-
January,Total Utilization,Total Utilization,-,35000,-,-,-,35000
January,Unutilized Balance,Unutilized Balance,9000462,19434836,-,-,-,28435298
February,Sources of Funds,-,-,-,-,-,-,-
February,Sources of Funds,Current Approp,4756765.5,11099119.5,-,-,-,15855885
February,Sources of Funds,Continuing Approp,4243696.5,8335716.5,-,-,-,12579413
February,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
February,Sources of Funds,Transfers/Grants,-,-,-,-,-,-
February,Total Funds Available,Total Funds Available,9000462,19434836,-,-,-,28435298
February,Utilization,-,-,-,-,-,-,-
February,Utilization,Travelling,-,-,-,-,-,-
February,Utilization,Training,-,-,-,-,-,-
February,Utilization,Office supplies,-,-,-,-,-,-
February,Utilization,Animal Supplies,-,-,-,-,-,-
February,Utilization,Food Supplies,-,-,-,-,-,-
February,Utilization,Drugs and Medicines,-,-,-,-,-,-
February,Utilization,"Gasoline, Oil and Lubricants",-,-,-,-,-,-
February,Utilization,R/M-Other Structures,-,-,-,-,-,-
February,Utilization,Other OMOE-Calamity,-,36000,-,-,-,36000
February,Utilization,General Services,-,-,-,-,-,-
February,Utilization,IT Equipment and Software,-,-,-,-,-,-
February,Utilization,Communication Equipment,-,-,-,-,-,-
February,Utilization,Other PPE,-,-,-,-,-,-
February,Utilization,Transfer to Other LGUs,-,-,-,-,-,-
February,Total Utilization,-,-,36000,-,-,-,36000
February,Unutilized Balance,-,9000462,19398836,-,-,-,28399298
March,Sources of Funds,-,-,-,-,-,-,-
March,Sources of Funds,Current Approp,4756765.5,11063119.5,-,-,-,15819885
March,Sources of Funds,Continuing Approp,4243696.5,8335716.5,-,-,-,12579413
March,Sources of Funds,Prev Year's Approp transferred to the Special Trust Fund,-,-,-,-,-,-
March,Sources of Funds,Transfers/Grants,-,-,-,-,-,-
March,Total Funds Available,-,9000462,19398836,-,-,-,28399298
March,Utilization,Travelling,-,-,-,-,-,-
March,Utilization,Training,-,-,-,-,-,-
March,Utilization,Office supplies,-,-,-,-,-,-
March,Utilization,Animal Supplies,-,-,-,-,-,-
March,Utilization,Food Supplies,-,-,-,-,-,-
March,Utilization,Drugs and Medicines,-,-,-,-,-,-
March,Utilization,"Gasoline, Oil and Lubricants",-,250000,-,-,-,250000
March,Utilization,R/M-Other Structures,-,-,-,-,-,-
March,Utilization,Other OMOE-Calamity,-,40000,-,-,-,40000
March,Utilization,General Services,-,-,-,-,-,-
March,Utilization,IT Equipment and Software,-,-,-,-,-,-
March,Utilization,Communication Equipment,-,-,-,-,-,-
March,Utilization,Other PPE,-,-,-,-,-,-
March,Utilization,Transfer to Other LGUs,-,-,-,-,-,-
March,Total Utilization,Total Utilization,-,290000,-,-,-,290000
March,Unutilized Balance,Unutilized Balance,9000462,19108836,-,-,-,28109298
