object_of_expenditure_1,object_of_expenditure_2,object_of_expenditure_3,object_of_expenditure_4,code,class,appropriation,allotment,balance_of_appropriation,obligation,unobligated_balance,disbursement
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),Repair and Maintenance- Roads (Brgys),-,851-1,2000000,2000000,-,-,33494.56,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),"Roads, Highways, and Bridges",10-5913-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),"Roads, Highways, and Bridges",10-5913-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),"Roads, Highways, and Bridges",10-5919-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),"Roads, Highways, and Bridges",10-6040-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),"Roads, Highways, and Bridges",10-6074-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),R/M-Brgy U Katungal Roads,10-6801-12,-,-,-,-,250000,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),R/M-Brgy Calean Roads,10-6812-12,-,-,-,-,216505.44,-,-
Other Infrastructure,Maint. And Other Operating Expenses,Repair and Maintenance- Roads (Brgys.),R/M-Brgy N Isabela Roads,10-6813-12,-,-,-,-,250000,-,-
Other Infrastructure,Capital Outlay,DELCA,DELCA,-,264-60,1274952.53,1274952.53,-,-,1274952.53,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges","Construction in Progress - Roads, Highways and Bridges",-,266,16765066,16765066,-,-,6596293.89,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges","Roads, Highways and Bridges",08-4909-12,-,-,-,-,2261810.99,-,1929916.97
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges","Roads, Highways and Bridges",10-5916-12,-,-,-,-,250000,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges","Roads, Highways and Bridges",10-5917-12,-,-,-,-,249986,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges","Roads, Highways and Bridges",10-6814-12,-,-,-,-,2388045.37,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",Brgy Roads New Carmen,10-6865-12,-,-,-,-,250000,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",Const Barrel Box-PK Mahigugmaon New Lag,11-7183-12,-,-,-,-,1706975.12,-,-
