program,project,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Provincial Stock Farm Establishment Phase 2,8000-4-1 Land Development or Forage and Pasture Establishment of Legumes Nursery,-,468440,-,-,-,-,-,For 3rd and 4th quarter implementation
Environmental Govenance and Management System,-,-,-,-,-,-,-,-,-
Natural Resource Stewardship and Development Program,"Verde- Dinagat Program- Provincial Plant Nursery, Production and Distribution of industrial and indigenous seedlings to partner Agencies and LGUs",-,550000,2/1/2014,12/14/2014,10,-,-,-
Natural Resource Stewardship and Development Program,Verde- Dinagat Program- Acquisition of one unit Green House with complete faciltiies,-,340000,-,-,-,-,-,4th quarter implementation
Natural Resource Stewardship and Development Program,Wildlife Conservation and Development Program- Establishment of Wildlife Rescue and Conservation Center Phase I with rescue vehicle and equipment,-,150000,-,-,-,-,-,3rd quarter implementation
Natural Resource Stewardship and Development Program,Provincial Solid Waste Management Program- Acquisition of one unit Garbage Truck (Town Ace),-,250000,-,-,-,-,-,4th quarter implementation
Natural Resource Stewardship and Development Program,"Coastal resource management and development program "" Kapit sa Payao Project""- Acquisition of Artificial Reef and Fish Agregation Devices Equipment and Gadgets for alternative livelihood",-,300000,-,-,-,-,-,3rd quarter implementation
Natural Resource Stewardship and Development Program,"Coastal resource management and development program "" Kapit sa Payao Project""- Acquisition of ARFAD Pontoon",-,34500,-,-,-,-,-,3rd quarter implementation
Natural Resource Stewardship and Development Program,"Coastal resource management and development program "" Kapit sa Payao Project""- Coastal cleanup along coastal areas in urban center within the province",-,15500,-,-,-,-,-,3rd quarter implementation
Natural Resource Stewardship and Development Program,Mineral Land Resource Management Program- Procurement of one unit stone cutter and other related machineries with skilled training,-,250000,-,-,-,-,-,3rd quarter implementation
Natural Resource Stewardship and Development Program,"Ecological Regulation, Control and Sustainability- Establishment of steel IEC Signage related on environmental protection",-,110000,-,-,-,-,-,3rd quarter implementation
Support to Special Program/Projects from the National Government or from Foreign Assistance (Infrastructure Subsidy to LGUs as Counterpart Fund to the Philippine Rural Development Program),8000-6-1 Subsidy to LGU as PRDP Counterpart in Infrastructure Projects,-,5500000,-,-,-,-,-,as the need arises
Support to Special Program/Projects from the National Government or from Foreign Assistance (Infrastructure Subsidy to LGUs as Counterpart Fund to the Philippine Rural Development Program),Environmental Management (pls list down specific projects),-,-,-,-,-,-,-,-
Total,-,-,73468440,-,-,-,-,-,-
