NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,,
As of 12 September 2012,,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,15.2,(Jul '12),12.2,(Jun '12),15.2,(Jul '12),23.6,(Jul '11)
,,GNI,,,5.6,(Q2'12),5.1,(Q1 '12),5.4,(S1'12),2.4,(Q2 '11),B.,NPL to total loans ratio,2.1,(Jun '12),2.2,(May '12),2.1,(Jun '12),2.5,(Jun '11)
,,GDP,,,5.9,,6.3,,6.1,,3.6,,C.,M3 Growth /b,8.7,(Jul '12),7.1,(Jun '12),8.7,(Jul '12),8.3,(Jul '11)
,,,Agriculture,,0.7,,1,,0.8,,8.3,,IV. PRICES,,Latest ,,Preceding,,Year to,,Same Month,
,,,Industry,,4.6,,5.3,,4.9,,-1.4,,,,Month,,Month,,      Date,,Year Ago,
,,,Services,,7.6,,8.1,,7.8,,5.6,,A.,Headline Inflation Rate (%) (NSO)/c,3.8,(Aug '12),3.2,(Jul '12),3.2,Jan - Aug '12,4.6,(Aug '11)
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,,  Food and Non-Alcoholic Beverages,3.3,,2.3,,2.2,,5.2,
,,(2000 - based),,,Month,,Month,,Date,,Year Ago ,,,  Non-Food,4.1,,3.8,,3.9,,4.3,
,,Value of Production(% g.r.),,,2.4,(Jun '12),-2.9,(May '12),5.4,(Jan-Jun '12),2.2,(Jun '11),,NCR,4.5,,3.1,,2.9,,3.3,
,,Volume of Production(% g.r.),,,4.4,,-4.1,,4.4,,-0.2,,,AONCR,3.6,,3.2,,3.2,,5,
,,Value of Sales(% g.r.),,,3.1,,4.3,,5.6,,7.8,,B.,Core Inflation Rate (%) (NSO)/c,4.3,(Aug '12),4.1,(Jul '12),3.7,Jan - Aug '12,4.3,(Aug '11)
,,Volume of Sales(% g.r.),,,5,,3,,4.6,,5.2,,C.,"Lending Rate (Low, %)",5.5,(Aug '12),5.7,(Jul '12),5.7,Jan - Aug '12,5.8,(Aug '11)
,,Weighted Ave. Capacity Utilization (%),,,0.3,,0.4,,0.5,,0.1,,,,Latest ,,                Preceding,,Year to,,                      Same Week,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Week,,               Week,,   Date,,                      Year Ago,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,D.,BSP Overnight Borrowing Policy Rates(RP),5.8,(10 Sept '12),5.8,(04 Sept '12),5.8,,6.5,(09 Sept '11)
,,Residential,,,4.3,(Jul '12),4.2,(Jun '12),7.3,(Jan-Jul '12),-5.8,(Jul '11),E.,BSP Overnight Lending Policy Rates(RRP),3.8,(10 Sept '12),3.8,(04 Sept '12),3.8,,4.5,(09 Sept '11)
,,Commercial,,,5.5,,6.3,,7.4,,2.4,,F.,91-Day T-Bill Rate (%),1.2,(03 Sept '12),1.5,(23 Aug '12),1.7,,0.4,(07 Sept '11)
,,Industrial,,,18.7,,16.2,,15.2,,8,,G.,"Forex (Average, P:$1)",41.6,(12 Sept '12),41.9,(05 Sept '12),42.6,,42.5,(12 Sept '11)
,,Others,,,-9.9,,-9.2,,-9.8,,2.5,,H. ,PSEi,"5,186.10",(11 Sept '12),"5,175.90",(04 Sept '12),"5,044.20",,"4,297.90",(12 Sept '11)
,,Total,,,8.9,,8.3,,9.6,,1.2,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,,                     Same Month/Quarter,
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,,,               Month/Quarter,,                 Month/Quarter,,   Date,,                     Year Ago,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,A.,Merchandise Exports (% g.r.),7.8, (Jul '12) ,4.3, (Jun '12) ,7.7,Jan- Jul '12,-1,(Jul '11)
,,Number of Permits,,,4.4,(Q1 '12),7.6,(Q4 '11),4.4,(Q1 '12),-5.5,Q '11,, - Electronic Products/d (% g.r.),-25.6,,-14.6,,-7.2,,-21.3,
,,Value of Construction,,,-6.8,,-8.4,,-6.8,,11.6,,B.,Merchandise Imports (% g.r.),13, (Jun '12) ,10.1, (May '12) ,0.3,Jan-Jun '12,6.6,(Jun '11)
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,,- Raw mat. & intermediate goods (% g. r.),5.4,,-15.4,,-18.9,,10.7,
,,,,,Period,,Period,,Date,,Year Ago ,,,- Capital goods (% g. r.),62.8,,19.9,,22.7,,-16.9,
,,Total Approved Foreign Direct Investment,,,-16.3,(Q1'12),42.2,(Q4 '11),-16.3,(Q1'12),-52.8,(Q1'11),C.,Current Account ($ M),882,(Q1 '12),"1,808",(Q4 '11),882,(Q1 '12),960,(Q1 '11)
,,,BOI Investment,,53.3,,-86.3,,53.3,,66.8,,D.,Capital & Financial Accounts ($ M),962,(Q1 '12),-981,(Q4 '11),962,(Q1 '12),"3,656",(Q1 '11)
,,,PEZA Investment,,-27.7,,38.1,,-27.7,,-16.5,,,"- Direct Investments, net'",696,,461,,696,,406,
,,,SBMA Investment,,139.4,,23237.2,,139.4,,-93.7,,E.,Balance of Payments ($ M),"3,182",(Jul '12),14,(Jun '12),"4,498",Jan- Jul '12,"1,267",(Jul '11)
,,,CDC Investment,,-13.4,,-90.1,,-13.4,,-92,,F.,Gross International Reserves ($ M),"80,777",(end Aug '12)/p,"79,759",(end Jul '12),"80,777",(end Aug '12)/p,"75,941",(Aug '11)
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,,- Months' worth of imports,11.9,,11.7,,11.9,,11.2,
