province,sex,total_registered_farmers_farm_laborers_and_fishermen,number_of_registered_farmers_farm_laborers_and_fishermen,number_of_registered_farmers_and_farm_laborers_only,number_of_registered_farmers_and_fishermen_only,number_of_registered_farm_laborers_and_fishermen_only,number_of_registered_farmers_only,number_of_registered_farm_laborers_only,number_of_registered_fishermen_only
All 20 Provinces,Total,625893,19983,128877,19820,16510,179843,189980,70788
All 20 Provinces,Male,500007,19022,111263,19024,14417,151755,116589,67886
All 20 Provinces,Female,125886,961,17614,796,2093,28088,73391,2902
Abra,Total,11812,1201,2160,575,804,1819,5145,108
Abra,Male,7693,1152,1894,544,581,1654,1768,100
Abra,Female,4119,49,266,31,223,165,3377,8
Agusan del Sur,Total,37549,1455,8902,815,489,14315,11318,255
Agusan del Sur,Male,30696,1371,8132,766,424,12904,6905,194
Agusan del Sur,Female,6853,84,770,49,65,1411,4413,61
Camarines Sur,Total,84048,2080,16531,2073,2640,17083,34219,9422
Camarines Sur,Male,68710,1997,15170,2000,2382,14620,23704,8837
Camarines Sur,Female,15338,83,1361,73,258,2463,10515,585
Davao Oriental,Total,24925,531,5039,315,683,6260,9195,2902
Davao Oriental,Male,22194,509,4630,308,638,5627,7631,2851
Davao Oriental,Female,2731,22,409,7,45,633,1564,51
Eastern Samar,Total,13554,500,2327,459,731,4155,3724,1657
Eastern Samar,Male,11900,496,2114,453,705,3762,2767,1602
Eastern Samar,Female,1654,4,213,6,26,393,957,55
Ifugao,Total,14986,280,6571,142,94,3902,3956,41
Ifugao,Male,8720,243,4129,126,88,2385,1711,38
Ifugao,Female,6266,37,2442,16,6,1517,2245,3
Kalinga,Total,8527,186,2137,134,48,2022,3995,5
Kalinga,Male,5262,179,1793,125,45,1742,1373,5
Kalinga,Female,3265,7,344,9,3,280,2622,0
Masbate,Total,69770,2192,13070,3280,1585,20656,13615,15372
Masbate,Male,58080,2111,11875,3197,1377,17479,7175,14866
Masbate,Female,11690,81,1195,83,208,3177,6440,506
Mountain Province,Total,4141,170,1338,41,58,1044,1487,3
Mountain Province,Male,2311,155,962,39,52,671,429,3
Mountain Province,Female,1830,15,376,2,6,373,1058,0
North Cotabato,Total,54364,1274,12418,2277,475,18054,19141,645
North Cotabato,Male,41705,1218,10561,2185,394,15911,10799,596
North Cotabato,Female,12659,56,1857,92,81,2143,8342,49
Northern Samar,Total,30870,1966,5834,1585,1686,7316,8589,3894
Northern Samar,Male,27318,1903,5262,1523,1592,6587,6679,3772
Northern Samar,Female,3552,63,572,62,94,729,1910,122
Romblon,Total,15546,1052,1684,1334,1337,3510,3565,3064
Romblon,Male,11497,977,1245,1236,1020,2442,1799,2778
Romblon,Female,4049,75,439,98,317,1068,1766,286
Western Samar,Total,48606,823,6168,2284,1531,12272,15224,10304
Western Samar,Male,39635,817,5697,2265,1439,10978,8291,10148
Western Samar,Female,8971,6,471,19,92,1294,6933,156
Siquijor,Total,2686,328,442,353,97,768,548,150
Siquijor,Male,1807,290,315,317,69,519,165,132
Siquijor,Female,879,38,127,36,28,249,383,18
Sultan Kudarat,Total,36778,883,8959,370,720,7659,14849,3338
Sultan Kudarat,Male,29069,815,8103,363,568,7002,9295,2923
Sultan Kudarat,Female,7709,68,856,7,152,657,5554,415
Surigao del Norte,Total,22068,1041,3316,1081,601,6601,5072,4353
Surigao del Norte,Male,19101,1009,2932,1042,581,5051,4206,4277
Surigao del Norte,Female,2967,32,384,39,20,1550,866,76
Surigao del Sur,Total,36691,1348,4995,919,1777,10216,12629,4807
Surigao del Sur,Male,29837,1312,4591,886,1394,9095,7990,4569
Surigao del Sur,Female,6854,36,404,33,383,1121,4639,238
Zamboanga del Norte,Total,74885,1441,19428,1253,632,31050,14769,6312
Zamboanga del Norte,Male,56309,1312,15079,1168,600,23196,8839,6115
Zamboanga del Norte,Female,18576,129,4349,85,32,7854,5930,197
Sarangani,Total,26192,323,6166,385,195,9827,5144,4144
Sarangani,Male,23141,294,5563,345,180,8921,3763,4069
Sarangani,Female,3051,29,603,40,15,906,1381,75
Apayao,Total,7895,909,1392,145,327,1314,3796,12
Apayao,Male,5022,862,1216,136,288,1209,1300,11
Apayao,Female,2873,47,176,9,39,105,2496,1
