province,pay_and_form_of_payment_label,pay_and_form_of_payment_description,total_registered_farm_laborers_total,total_registered_farm_laborers_male,total_registered_farm_laborers_female,number_of_registered_farm_laborers_only_total,number_of_registered_farm_laborers_only_male,number_of_registered_farm_laborers_only_female,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_total,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_male,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_female
All 20 Provinces,Pay,Total,1156305,864155,292150,662428,437078,225350,493877,427077,66800
All 20 Provinces,Pay,Work with pay,986862,764942,221920,558430,391646,166784,428432,373296,55136
All 20 Provinces,Pay,Work without pay,168272,98321,69951,103454,45090,58364,64818,53231,11587
All 20 Provinces,Pay,Not reported,1171,892,279,544,342,202,627,550,77
All 20 Provinces,Form of payment,Total,986523,764668,221855,558264,391526,166738,428259,373142,55117
All 20 Provinces,Form of payment,In cash,763386,604336,159050,446370,323609,122761,317016,280727,36289
All 20 Provinces,Form of payment,In kind,223137,160332,62805,111894,67917,43977,111243,92415,18828
All 20 Provinces,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Abra,Pay,Total,43599,27094,16505,25374,11211,14163,18225,15883,2342
Abra,Pay,Work with pay,34787,23036,11751,18930,9000,9930,15857,14036,1821
Abra,Pay,Work without pay,8812,4058,4754,6444,2211,4233,2368,1847,521
Abra,Pay,Not reported,0,0,0,0,0,0,0,0,0
Abra,Form of payment,Total,34787,23036,11751,18930,9000,9930,15857,14036,1821
Abra,Form of payment,In cash,17792,12126,5666,9941,5065,4876,7851,7061,790
Abra,Form of payment,In kind,16995,10910,6085,8989,3935,5054,8006,6975,1031
Abra,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Agusan del Sur,Pay,Total,64771,50627,14144,36193,24645,11548,28578,25982,2596
Agusan del Sur,Pay,Work with pay,54007,44500,9507,28967,21458,7509,25040,23042,1998
Agusan del Sur,Pay,Work without pay,10591,6006,4585,7115,3119,3996,3476,2887,589
Agusan del Sur,Pay,Not reported,173,121,52,111,68,43,62,53,9
Agusan del Sur,Form of payment,Total,54004,44497,9507,28965,21456,7509,25039,23041,1998
Agusan del Sur,Form of payment,In cash,43116,36373,6743,23543,18064,5479,19573,18309,1264
Agusan del Sur,Form of payment,In kind,10888,8124,2764,5422,3392,2030,5466,4732,734
Agusan del Sur,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Camarines Sur,Pay,Total,159619,126935,32684,99482,72669,26813,60137,54266,5871
Camarines Sur,Pay,Work with pay,130269,107121,23148,82744,63748,18996,47525,43373,4152
Camarines Sur,Pay,Work without pay,29276,19761,9515,16673,8877,7796,12603,10884,1719
Camarines Sur,Pay,Not reported,74,53,21,65,44,21,9,9,0
Camarines Sur,Form of payment,Total,130267,107119,23148,82744,63748,18996,47523,43371,4152
Camarines Sur,Form of payment,In cash,100741,85118,15623,64597,51516,13081,36144,33602,2542
Camarines Sur,Form of payment,In kind,29526,22001,7525,18147,12232,5915,11379,9769,1610
Camarines Sur,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Davao Oriental,Pay,Total,57191,49545,7646,37267,31523,5744,19924,18022,1902
Davao Oriental,Pay,Work with pay,51831,45598,6233,34789,30071,4718,17042,15527,1515
Davao Oriental,Pay,Work without pay,5345,3934,1411,2464,1440,1024,2881,2494,387
Davao Oriental,Pay,Not reported,15,13,2,14,12,2,1,1,0
Davao Oriental,Form of payment,Total,51831,45598,6233,34789,30071,4718,17042,15527,1515
Davao Oriental,Form of payment,In cash,47048,41519,5529,32080,27719,4361,14968,13800,1168
Davao Oriental,Form of payment,In kind,4783,4079,704,2709,2352,357,2074,1727,347
Davao Oriental,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Eastern Samar,Pay,Total,31254,26101,5153,17759,13716,4043,13495,12385,1110
Eastern Samar,Pay,Work with pay,26973,23190,3783,15331,12383,2948,11642,10807,835
Eastern Samar,Pay,Work without pay,4275,2907,1368,2422,1329,1093,1853,1578,275
Eastern Samar,Pay,Not reported,6,4,2,6,4,2,0,0,0
Eastern Samar,Form of payment,Total,26973,23190,3783,15331,12383,2948,11642,10807,835
Eastern Samar,Form of payment,In cash,18798,16586,2212,10938,9198,1740,7860,7388,472
Eastern Samar,Form of payment,In kind,8175,6604,1571,4393,3185,1208,3782,3419,363
Eastern Samar,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Ifugao,Pay,Total,35917,21178,14739,13943,6885,7058,21974,14293,7681
Ifugao,Pay,Work with pay,32626,19564,13062,12150,6168,5982,20476,13396,7080
Ifugao,Pay,Work without pay,3291,1614,1677,1793,717,1076,1498,897,601
Ifugao,Pay,Not reported,0,0,0,0,0,0,0,0,0
Ifugao,Form of payment,Total,32626,19564,13062,12150,6168,5982,20476,13396,7080
Ifugao,Form of payment,In cash,20737,12839,7898,8739,4556,4183,11998,8283,3715
Ifugao,Form of payment,In kind,11889,6725,5164,3411,1612,1799,8478,5113,3365
Ifugao,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Kalinga,Pay,Total,34520,20172,14348,23363,10778,12585,11157,9394,1763
Kalinga,Pay,Work with pay,30063,17877,12186,20372,9707,10665,9691,8170,1521
Kalinga,Pay,Work without pay,4457,2295,2162,2991,1071,1920,1466,1224,242
Kalinga,Pay,Not reported,0,0,0,0,0,0,0,0,0
Kalinga,Form of payment,Total,30063,17877,12186,20372,9707,10665,9691,8170,1521
Kalinga,Form of payment,In cash,19054,10994,8060,14144,6863,7281,4910,4131,779
Kalinga,Form of payment,In kind,11009,6883,4126,6228,2844,3384,4781,4039,742
Kalinga,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Masbate,Pay,Total,60784,45100,15684,28026,15788,12238,32758,29312,3446
Masbate,Pay,Work with pay,49581,39701,9880,20523,13349,7174,29058,26352,2706
Masbate,Pay,Work without pay,11202,5399,5803,7502,2439,5063,3700,2960,740
Masbate,Pay,Not reported,1,0,1,1,0,1,0,0,0
Masbate,Form of payment,Total,49581,39701,9880,20523,13349,7174,29058,26352,2706
Masbate,Form of payment,In cash,33937,28177,5760,13503,9397,4106,20434,18780,1654
Masbate,Form of payment,In kind,15644,11524,4120,7020,3952,3068,8624,7572,1052
Masbate,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Mountain Province,Pay,Total,26754,14727,12027,15397,6402,8995,11357,8325,3032
Mountain Province,Pay,Work with pay,23419,13270,10149,13139,5626,7513,10280,7644,2636
Mountain Province,Pay,Work without pay,3335,1457,1878,2258,776,1482,1077,681,396
Mountain Province,Pay,Not reported,0,0,0,0,0,0,0,0,0
Mountain Province,Form of payment,Total,23419,13270,10149,13139,5626,7513,10280,7644,2636
Mountain Province,Form of payment,In cash,17379,10142,7237,10043,4456,5587,7336,5686,1650
Mountain Province,Form of payment,In kind,6040,3128,2912,3096,1170,1926,2944,1958,986
Mountain Province,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
North Cotabato,Pay,Total,164527,121673,42854,102677,67980,34697,61850,53693,8157
North Cotabato,Pay,Work with pay,141495,107552,33943,88806,61543,27263,52689,46009,6680
North Cotabato,Pay,Work without pay,23032,14121,8911,13871,6437,7434,9161,7684,1477
North Cotabato,Pay,Not reported,0,0,0,0,0,0,0,0,0
North Cotabato,Form of payment,Total,141287,107383,33904,88700,61464,27236,52587,45919,6668
North Cotabato,Form of payment,In cash,120957,92234,28723,77947,54804,23143,43010,37430,5580
North Cotabato,Form of payment,In kind,20330,15149,5181,10753,6660,4093,9577,8489,1088
North Cotabato,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Northern Samar,Pay,Total,55757,47836,7921,29540,23767,5773,26217,24069,2148
Northern Samar,Pay,Work with pay,51110,44196,6914,27440,22371,5069,23670,21825,1845
Northern Samar,Pay,Work without pay,4640,3636,1004,2093,1392,701,2547,2244,303
Northern Samar,Pay,Not reported,7,4,3,7,4,3,0,0,0
Northern Samar,Form of payment,Total,51110,44196,6914,27440,22371,5069,23670,21825,1845
Northern Samar,Form of payment,In cash,38437,33474,4963,21049,17426,3623,17388,16048,1340
Northern Samar,Form of payment,In kind,12673,10722,1951,6391,4945,1446,6282,5777,505
Northern Samar,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Romblon,Pay,Total,23097,15551,7546,11276,6268,5008,11821,9283,2538
Romblon,Pay,Work with pay,20558,14148,6410,10125,5879,4246,10433,8269,2164
Romblon,Pay,Work without pay,2521,1389,1132,1146,387,759,1375,1002,373
Romblon,Pay,Not reported,18,14,4,5,2,3,13,12,1
Romblon,Form of payment,Total,20544,14138,6406,10120,5877,4243,10424,8261,2163
Romblon,Form of payment,In cash,12353,8963,3390,6185,3884,2301,6168,5079,1089
Romblon,Form of payment,In kind,8191,5175,3016,3935,1993,1942,4256,3182,1074
Romblon,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Western Samar,Pay,Total,62253,44254,17999,40079,23745,16334,22174,20509,1665
Western Samar,Pay,Work with pay,44820,36744,8076,25537,18744,6793,19283,18000,1283
Western Samar,Pay,Work without pay,17424,7507,9917,14534,4999,9535,2890,2508,382
Western Samar,Pay,Not reported,9,3,6,8,2,6,1,1,0
Western Samar,Form of payment,Total,44819,36743,8076,25536,18743,6793,19283,18000,1283
Western Samar,Form of payment,In cash,36475,30727,5748,20334,15573,4761,16141,15154,987
Western Samar,Form of payment,In kind,8344,6016,2328,5202,3170,2032,3142,2846,296
Western Samar,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Siquijor,Pay,Total,7582,4544,3038,2765,950,1815,4817,3594,1223
Siquijor,Pay,Work with pay,5902,3738,2164,1881,717,1164,4021,3021,1000
Siquijor,Pay,Work without pay,1680,806,874,884,233,651,796,573,223
Siquijor,Pay,Not reported,0,0,0,0,0,0,0,0,0
Siquijor,Form of payment,Total,5902,3738,2164,1881,717,1164,4021,3021,1000
Siquijor,Form of payment,In cash,2777,2124,653,559,328,231,2218,1796,422
Siquijor,Form of payment,In kind,3125,1614,1511,1322,389,933,1803,1225,578
Siquijor,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Sultan Kudarat,Pay,Total,98797,75083,23714,59520,40238,19282,39277,34845,4432
Sultan Kudarat,Pay,Work with pay,92779,70666,22113,56387,38284,18103,36392,32382,4010
Sultan Kudarat,Pay,Work without pay,5495,4003,1492,2941,1834,1107,2554,2169,385
Sultan Kudarat,Pay,Not reported,523,414,109,192,120,72,331,294,37
Sultan Kudarat,Form of payment,Total,92698,70604,22094,56344,38255,18089,36354,32349,4005
Sultan Kudarat,Form of payment,In cash,75730,56761,18969,47676,31925,15751,28054,24836,3218
Sultan Kudarat,Form of payment,In kind,16968,13843,3125,8668,6330,2338,8300,7513,787
Sultan Kudarat,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Surigao del Norte,Pay,Total,27002,23564,3438,14807,12618,2189,12195,10946,1249
Surigao del Norte,Pay,Work with pay,25199,22144,3055,14113,12149,1964,11086,9995,1091
Surigao del Norte,Pay,Work without pay,1613,1258,355,647,431,216,966,827,139
Surigao del Norte,Pay,Not reported,190,162,28,47,38,9,143,124,19
Surigao del Norte,Form of payment,Total,25196,22141,3055,14111,12147,1964,11085,9994,1091
Surigao del Norte,Form of payment,In cash,21492,19170,2322,12271,10765,1506,9221,8405,816
Surigao del Norte,Form of payment,In kind,3704,2971,733,1840,1382,458,1864,1589,275
Surigao del Norte,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Surigao del Sur,Pay,Total,53850,40820,13030,33845,22930,10915,20005,17890,2115
Surigao del Sur,Pay,Work with pay,46658,37124,9534,28528,20800,7728,18130,16324,1806
Surigao del Sur,Pay,Work without pay,7057,3600,3457,5245,2089,3156,1812,1511,301
Surigao del Sur,Pay,Not reported,135,96,39,72,41,31,63,55,8
Surigao del Sur,Form of payment,Total,46657,37124,9533,28527,20800,7727,18130,16324,1806
Surigao del Sur,Form of payment,In cash,42170,33910,8260,25958,19269,6689,16212,14641,1571
Surigao del Sur,Form of payment,In kind,4487,3214,1273,2569,1531,1038,1918,1683,235
Surigao del Sur,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Zamboanga del Norte,Pay,Total,86004,62512,23492,38826,25427,13399,47178,37085,10093
Zamboanga del Norte,Pay,Work with pay,72775,55175,17600,31828,22491,9337,40947,32684,8263
Zamboanga del Norte,Pay,Work without pay,13209,7329,5880,6982,2929,4053,6227,4400,1827
Zamboanga del Norte,Pay,Not reported,20,8,12,16,7,9,4,1,3
Zamboanga del Norte,Form of payment,Total,72774,55174,17600,31828,22491,9337,40946,32683,8263
Zamboanga del Norte,Form of payment,In cash,53245,41705,11540,24471,18216,6255,28774,23489,5285
Zamboanga del Norte,Form of payment,In kind,19529,13469,6060,7357,4275,3082,12172,9194,2978
Zamboanga del Norte,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Sarangani,Pay,Total,36764,30806,5958,17029,13124,3905,19735,17682,2053
Sarangani,Pay,Work with pay,30329,25813,4516,14417,11468,2949,15912,14345,1567
Sarangani,Pay,Work without pay,6435,4993,1442,2612,1656,956,3823,3337,486
Sarangani,Pay,Not reported,0,0,0,0,0,0,0,0,0
Sarangani,Form of payment,Total,30304,25790,4514,14411,11463,2948,15893,14327,1566
Sarangani,Form of payment,In cash,24200,20687,3513,12478,10051,2427,11722,10636,1086
Sarangani,Form of payment,In kind,6104,5103,1001,1933,1412,521,4171,3691,480
Sarangani,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
Apayao,Pay,Total,26263,16033,10230,15260,6414,8846,11003,9619,1384
Apayao,Pay,Work with pay,21681,13785,7896,12423,5690,6733,9258,8095,1163
Apayao,Pay,Work without pay,4582,2248,2334,2837,724,2113,1745,1524,221
Apayao,Pay,Not reported,0,0,0,0,0,0,0,0,0
Apayao,Form of payment,Total,21681,13785,7896,12423,5690,6733,9258,8095,1163
Apayao,Form of payment,In cash,16948,10707,6241,9914,4534,5380,7034,6173,861
Apayao,Form of payment,In kind,4733,3078,1655,2509,1156,1353,2224,1922,302
Apayao,Form of payment,Not reported,0,0,0,0,0,0,0,0,0
