particulars_1,particulars_2,particulars_3,quick_response_fund_qrf_30_percent,pre_disaster_preparedness_program,total_amount
Amount to be transferred to STF (2013 Balance),Amount to be transferred to STF (2013 Balance),Amount to be transferred to STF (2013 Balance),-,-,50623004.38
Add: Special Trust Fund,Add: Special Trust Fund,Add: Special Trust Fund,-,-,7347902.94
Calamity Fund (CY 2014),Maintenance and Other Operation Expenses,Maintenance and Other Operation Expenses,9879835.27,3095428.43,-
Calamity Fund (CY 2014),Capital Outlay,Capital Outlay,5589634.05,33000000,-
Annual Appropration CY 2014,Annual Appropration CY 2015,Annual Appropration CY 2016,15469469.32,36095428.43,51564897.75
Total Funds Available,Total Funds Available,Total Funds Available,-,-,109535805.1
Less: Disbursement,Maintenance and Other Operation Expenses,Maintenance and Other Operation Expenses,-,-,-
Less: Disbursement,Maintenance and Other Operation Expenses, Relief or Food Commodities,2500000,-,-
Less: Disbursement,Maintenance and Other Operation Expenses,Others-MOOE,45214,-,-
Less: Disbursement,Maintenance and Other Operation Expenses, Housing Materials,306000,-,-
Less: Disbursement,Maintenance and Other Operation Expenses,Fuels and Lubricants,4983.5,-,-
Less: Disbursement,Maintenance and Other Operation Expenses,Emergency Transportation,15000,-,-
Less: Disbursement,Maintenance and Other Operation Expenses,Other Relief Support Services,12000,-,-
Less: Disbursement,Maintenance and Other Operation Expenses," Supplies, Office and Computer",-,729407.95,-
Total Utilization,Total Utilization,Total Utilization,2883197.5,729407.95,3612605.45
Unutilized Balance,Unutilized Balance,Unutilized Balance,-,-,105923199.6
