accnt_code_activity,activity,accnt_code_accnt_title,accnt_title,class,appropriation,obligation,balance
1918,"Purchase, construction and improvement of governmant facilities",211,"Construction of GSCGEA Mult-Purpose Building, City Hall Compound, GSC (additional appropriation of P2000000.00 was sourced from LDF Continuing Appropriation Account 1918 to complete the project)",Capital Outlay,5000000,2469134.07,2530865.93
1919,"Purchase, construction and improvement of governmant facilities",211,Renovation of old City Hall building for museum,Capital Outlay,7000000,-,7000000
3918,"Purchase, construction and improvement of governmant facilities",211,"Completion of two-storey Madrasa Building, Brgy. Labangal",Capital Outlay,1000000,-,1000000
3918,"Purchase, construction and improvement of governmant facilities",215,"Construction of covered court at Irineo National High School, Dadiangas South",Capital Outlay,3000000,-,3000000
8917,Repair and maintenance of government facilities - Econ. services,230,Construction and heavy equipment,Capital Outlay,43800000,21266688,22533312
8918,"Purchase, construction and improvement of governmant facilities - Econ.",215,"Construction of multi-purpose pavement at Purok 2, Brgy. Katangawan",Capital Outlay,1500000,-,1500000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",215,"Completion of Satellite Integrated Terminal and Public Market, Brgy. Fatima",Capital Outlay,5000000,1422376.76,3577623.24
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting at Mabuhay Rd., Brgy. Mabuhay (additional appropriation)",Capital Outlay,5000000,-,5000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Proposed road concreting at FVR Village, Brgy. Fatima",Capital Outlay,1500000,-,1500000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting from Labangal National High School to Purok Magsaysay A., Brgy. Labangal",Capital Outlay,1000000,-,1000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting from Purok 1, Purok 6-Taliwara, Purok 7-Daanbanwang, and Purok 8-Almatak, Upper Labay Farm-to-Market Road (counterpart to DA)",Capital Outlay,1411760,1411760,-
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting in front of City Hospital, Brgy. Lagao",Capital Outlay,3000000,-,3000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting of Mangga St., Purok 1, Brgy. Olympog (additional appropriation)",Capital Outlay,1500000,-,1500000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting at Balite St. Extension, beside the Hall of Justice, Brgy. Lagao",Capital Outlay,5000000,2088849.26,2911150.74
