particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,28616226.55
Balance,Balance,Balance,16940944.35
Less-Dibursement,Pre-Disaster Preparedness Program,UX Med Enterprises -Emergency Medical Supplies,26092
Less-Dibursement,Pre-Disaster Preparedness Program,JKP2 Safety and Security Products -Rescue Boat,306900
Less-Dibursement,Pre-Disaster Preparedness Program,JKP2 Safety and Security Products -Rescue Equipment,55920
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -Full Payment -Rehabilitation of Storm Drainage  -J Hernandez Avenue,953495.65
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -2 Brothers Construction ,-
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -Storm Drainage with slope protection -Panicuason,416658
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -Storm Drainage -Manga St. Panicuason,295790
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -Storm Drainage,839310.2
Less-Dibursement,Pre-Disaster Preparedness Program,Flood Control and Mitigation Structures -Storm Drainage at Mc Mariano  - Balatas,258724.52
Less-Dibursement,Post Disaster Programs,Anti-Dengue Campaign c/o Abel Victor Tindugan,322000
Less-Dibursement,Post Disaster Programs,Calamity Assistance to the Victims of TY Pablo -LGU Compostela Valley,150000
Less-Dibursement,Post Disaster Programs,Calamity Assistance to the Victims of TY Pablo -LGU Davao Oriental,150000
Less-Dibursement,Post Disaster Programs,Financial Assistance to Dengue Victims- 25 Dengue Victims Naga City,46500
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,26250
Less-Dibursement,Post Disaster Programs,Abel Victor et al December,-
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,26250
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,24500
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,26250
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,28000
Less-Dibursement,Post Disaster Programs,Honorarium for Emergency Workers for Anti Dengue Eradication ,17500
Less-Dibursement,Payment of Premium on Calamity Insurance ,Payment of Premium on Calamity Insurance ,-
Less-Dibursement,GSIS Fire Insurance Prem -Naga City Library and Social Dev Center ,GSIS Fire Insurance Prem -Naga City Library and Social Dev Center ,75299.24
Total,Total,Total,4172190.61
Total Balance,Total Balance,Total Balance,12768753.74
