particulars_1,particulars_2,particulars_3,particulars_4,amount
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,32880250.65
Less-Disbursement,Pre-Disaster Preparedness Program,Equipments,Equipments,-
Less-Disbursement,Pre-Disaster Preparedness Program,Equipments,Rescue Equipment,226000
Less-Disbursement,Pre-Disaster Preparedness Program,Equipments,IT Equipment,51180
Less-Disbursement,Pre-Disaster Preparedness Program,Equipments,Communication Equipment,40800
Less-Disbursement,Pre-Disaster Preparedness Program,Equipments,Transportation Equipment,872300
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Medicine Expenses,163878.15
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Training Expenses,302000
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Travelling Expenses,11680
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Repair and Maint.-Motor Vehicle,46901
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Other MOOE,168917.68
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation MOOE,Other Supplies Expenses,270000
Less-Disbursement,Pre-Disaster Preparedness Program,Preparedness and Mitigation -Capital Outlay,PI-Flood Control ,5188212.39
Less-Disbursement,Post Disaster Programs ,Post Disaster Programs ,Post Disaster Programs ,-
Less-Disbursement,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-
Less-Disbursement,Payment of Premiums on Calamity Insurance,Insurance Expenses,Insurance Expenses,2191262.09
Total,Total,Total,Total,9533131.31
Balance,Balance,Balance,Balance,23347119.34
