particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources Funds,Current Appropriations,Current Appropriations,10598850.93,25070581.13,-,-,-,35669432.06
Sources Funds,Continuing Appropriations,Continuing Appropriations,9209075.19,15767403.98,-,-,-,24976479.17
Sources Funds,Previous Year Appropriations transferred to the Special Trust Fund,Previous Year Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources Funds,Transfer or Grants,Transfer or Grants,-,-,-,-,-,-
Sources Funds,Total Fund Available,Total Fund Available,19807926.12,40837985.11,-,-,-,60645911.23
Utilization,Current Approp.,Food Supplies,-,-,-,-,-,-
Utilization,Equipments,Equipments,-,-,-,-,-,-
Utilization,MOOE,Medicinal Supplies,-,70079,-,-,-,70079
Utilization,Capital Outlay,Backup Power Generator,-,775000,-,-,-,775000
Utilization,Capital Outlay,Other PPE,-,144000,-,-,-,144000
Utilization,Capital Outlay,Transfer to other LGUs,-,-,-,-,-,-
Total Utilization,Total Utilization,Total Utilization,-,989079,-,-,-,989079
Total Utilization Unit-Current,Earmarked  CA,Earmarked  CA,-,6232000,-,-,-,6232000
Total Utilization Unit-Current,Earmarked Special Trust,Earmarked Special Trust,16714582.63,-,-,-,-,16714582.63
Unutilized Balance,Unutilized Balance,Unutilized Balance,19807926.12,39848906.11,-,-,-,36710249.6
