particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources Funds,Current Appropriation,Current Appropriation,9864075.19,23016175.46,-,-,-,32880250.65
Sources Funds,Continuing Appropriation 2012,Continuing Appropriation 2012,-,1491798.87,-,-,-,1491798.87
Sources Funds,Previous Year Appropriation Transferred to the Special Trust Fund 2012,Previous Year Appropriation Transferred to the Special Trust Fund 2012,-,16929023.4,-,-,-,16929023.4
Sources Funds,Transfer or Grants,Transfer or Grants,-,-,-,-,-,-
Sources Funds,Total Fund Available,Total Fund Available,9864075.19,41436997.73,-,-,-,51301072.92
Utilization,Current Appropropriations,Food Supplies,655000,-,-,-,-,655000
Utilization,Equipments,Rescue Equipment ,-,226000,-,-,-,-
Utilization,Equipments,Tranportation Equipment,-,872300,-,-,-,-
Utilization,Equipments,Communication Equipment,-,40800,-,-,-,-
Utilization,Equipments,IT Equipment,-,51180,-,-,-,1190280
Utilization,MOOE,Medicines,-,161078.15,-,-,-,-
Utilization,MOOE,Training,-,757000,-,-,-,-
Utilization,MOOE,Travel,-,12960,-,-,-,-
Utilization,MOOE,Repair and Maintenance -Motor Vehicle ,-,46901,-,-,-,-
Utilization,MOOE,Other MOOE,-,260417.68,-,-,-,-
Utilization,MOOE,Other Supplies,-,315300,-,-,-,1553656.83
Utilization,MOOE,Insurance,-,2301079.11,-,-,-,2301079.11
Utilization,Capital Outlay,Construction of Flood  Control,-,8692984.71,-,-,-,-
Utilization,Capital Outlay,Other PPE,-,129930,-,-,-,8822914.71
Utilization,Transfer to LGUs,Transfer to LGUs,-,-,-,-,-,-
Total Utilization Unit-Current,Total Utilization Unit-Current,Total Utilization Unit-Current,655000,13867930.65,-,-,-,145222930.7
Total Utilization Unit-Current,Earmarked  CA,Earmarked  CA,-,519297.76,-,-,-,519297.76
Total Utilization Unit-Current,Earmarked Special Trust,Earmarked Special Trust,-,11282365.34,-,-,-,11282365.34
Unutilized Balance,Unutilized Balance,Unutilized Balance,9209075.19,27569067.08,-,-,-,24976479.17
