particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,35669432.05
Less-Disbursement,Quick Response Fund,Quick Response Fund,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Agriculutural Supplies,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Training,22155.5
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Rescue or Medical Ambulance Supplies,75875
Less-Disbursement,Preparedness and Mitigation Program(MOOE),"Fuel, Oil and Lubricants",-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Repair and Maintenance -Vehicle or Rubber Boat,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Taxes and Licenses,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Other MOOE,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Prem. on Calamity Insurance,504169.49
Less-Disbursement,Preparedness and Mitigation Program (CO),Infastructure,-
Less-Disbursement,Preparedness and Mitigation Program (CO),Disaster and Rescue Equipment,39170000
Less-Disbursement,Preparedness and Mitigation Program (CO),Building,-
Less-Disbursement,Preparedness and Mitigation Program (CO),Emergency Rescue Vehicle,3917000
Total Current Calamity Fund,Total Current Calamity Fund,Total Current Calamity Fund,31150237.07
Add-Special Trust Fund (2012-2013),Add-Special Trust Fund (2012-2013),Add-Special Trust Fund (2012-2013),24976479.17
Total Balance,Total Balance,Total Balance,56126716.24
