particulars_1,particulars_2,particulars_3,ldrrmf_quick_reponse_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,Current Appropriations,9961760.65,23244108.2,-,-,-,33205868.85
Sources of Funds,Continuing Appropriations,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Continuing Appropriations,Previous Year Appropriations Transferredd to the Special Trust Fund,-,15861390.33,-,-,-,15861390.33
Sources of Funds,Tranfer or Grants,Tranfer or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,Total Funds Available,9961760.65,39105498.53,-,-,-,49067259.18
Utilization,Current Appropriations,Current Appropriations,-,1105630.98,-,-,-,1105630.98
Utilization,Current Appropriations,Relief Recovery,-,-,-,-,-,-
Utilization,Current Appropriations,Preparedness and Mitigation-MOOE,-,84214,-,-,-,84214
Utilization,Current Appropriations,Preparedness and Mitigation-CO,-,855610.37,-,-,-,855610.37
Utilization,Current Appropriations,Prem on Calamity Insurance,-,165806.61,-,-,-,165806.61
Utilization,Current Appropriations,Continuing Appropriations,-,1067633.07,-,-,-,1067633.07
Utilization,Trasnfer to LGUs,Trasnfer to LGUs,-,-,-,-,-,-
Total Utilization,Total Utilization,Total Utilization,-,2173264.05,-,-,-,2173264.05
Unutilized Balance,Unutilized Balance,Unutilized Balance,9961760.65,36932234.48,-,-,-,46893995.13
