particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,35669432.05
Less-Disbursement,Quick Response Fund,Quick Response Fund,9304219.7
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Agriculutural Supplies,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Training,299655.5
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Rescue or Medical Ambulance Supplies,148809
Less-Disbursement,Preparedness and Mitigation Program(MOOE),"Fuel, Oil and Lubricants",267822.35
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Repair and Maintenance -Vehicle or Rubber Boat,4895
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Taxes and Licenses,-
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Other MOOE,860714.8
Less-Disbursement,Preparedness and Mitigation Program(MOOE),Prem. on Calamity Insurance,2212766.12
Less-Disbursement,Preparedness and Mitigation Program (CO),Infastructure,-
Less-Disbursement,Preparedness and Mitigation Program (CO),Disaster and Rescue Equipment,7680120
Less-Disbursement,Preparedness and Mitigation Program (CO),Building,888968.25
Less-Disbursement,Preparedness and Mitigation Program (CO),Emergency Rescue Vehicle,8569088.25
Total Current Calamity Fund,Total Current Calamity Fund,Total Current Calamity Fund,14001461.34
Add-Special Trust Fund (2012-2013),Add-Special Trust Fund (2012-2013),Add-Special Trust Fund (2012-2013),3948959.12
Total Balance,Total Balance,Total Balance,17950420.46
