development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_prev._years_appropriations,expenditures_current,total,balance,remarks
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. B.Titong),-,-,300000,300000,-,-,-,300000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Cawayan Exterior),-,-,500000,500000,-,-,-,500000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Cawayan Interior),-,-,300000,300000,-,-,-,300000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Ubongan Dacu),-,-,500000,500000,-,-,-,500000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Embankment of School Site (Brgy. Usab),-,-,500000,500000,-,-,-,500000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures","Additional Street Lights (Purok 1 & 2,Brgy. Cagay)",-,-,80000,80000,-,-,-,80000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. Espinosa),-,-,1000000,1000000,-,-,-,1000000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. F. Magallanes),-,-,320000,320000,-,-,-,320000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Installation of Street Light at Capitol Road and Almero Street (Brgy. Kalipay),-,-,180000,180000,-,-,-,180000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. F. Maingaran),-,-,-,-,-,-,-,-,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL High School Building (Brgy. Bantigue),-,-,750000,750000,-,733093.92,733093.92,16906.08,-
Social Development Program ,Buildings,School Building,Construction of Two (2) Storey 4 CL Building Progressive Type (Brgy. Bolo),-,-,2100000,2100000,-,1732053.42,1732053.42,367946.58,-
