development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_previous_years_appropriations,expenditures_current,total,balance,remarks
Social Development Program,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisition of Barangay Site and Lot Improvement (Brgy. B.Titong),-,-,300000,300000,-,-,-,300000,-
Social Development Program,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisition of Barangay Site and Lot Improvement (Brgy. Cawayan Exterior),-,-,500000,500000,-,-,-,500000,-
Social Development Program,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisition of Barangay Site and Lot Improvement (Brgy. Cawayan Interior),-,-,300000,300000,-,-,-,300000,-
Social Development Program,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisition of Barangay Site and Lot Improvement (Brgy. Ubongan Dacu),-,-,500000,500000,-,-,-,500000,-
Social Development Program,"Land, Land Improvement",Land Acquisition and Lot Improvement,Embankment of School Site (Brgy. Usab),-,-,500000,500000,-,500000,500000,-,-
Social Development Program,"Land, Land Improvement","Electrification, Power and Energy structures

","Additional Street Lights (Purok 1 & 2, Brgy. Cagay)",-,-,80000,80000,-,80000,80000,-,-
Social Development Program,"Land, Land Improvement","Electrification, Power and Energy structures

",Construction of Street Lights (Brgy. Espinosa),-,-,1000000,1000000,-,1000000,1000000,-,-
Social Development Program,"Land, Land Improvement","Electrification, Power and Energy structures

",Construction of Street Lights (Brgy. F. Magallanes),-,-,320000,320000,-,249200,249200,70800,-
Social Development Program,"Land, Land Improvement","Electrification, Power and Energy structures

",Installation of Street Light at Capitol Road and Almero Street (Brgy. Kalipay),-,-,180000,180000,-,143400,143400,36600,-
Social Development Program,"Land, Land Improvement","Electrification, Power and Energy structures

",Construction of Street Lights (Brgy. Maingaran),-,-,300000,300000,-,300000,300000,-,-
Social Development Program,Buildings,School Building,Construction of One (1) Unit 1 CL High School Building (Brgy. Bantigue),-,-,750000,750000,-,733093.92,733093.92,16906.08,-
Social Development Program,Buildings,School Building,Construction of Two (2) Storey 4 CL Building Progressive Type (Brgy. Bolo),-,-,2100000,2100000,-,2074458.66,2074458.66,25541.34,-
Social Development Program,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Espinosa Elem. School (Brgy. Espinosa),-,-,750000,750000,-,727736.04,727736.04,22263.96,-
Social Development Program,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Igang Elem. School (Brgy. Igang),-,-,750000,750000,-,727736.04,727736.04,22263.96,-
Social Development Program,Buildings,School Building,Construction of One (1) Unit 2 CL Building at Nursery High School (Brgy. Nursery),-,-,1500000,1500000,-,1510577.09,1510577.09,-10577.09,-
Social Development Program,Buildings,School Building,Rehabilitation of Marcos Type School Building (Brgy. Sinalongan),-,-,250000,250000,-,243172.75,243172.75,6827.25,-
Social Development Program,Buildings,Other Structures,Renovation of Barangay Health Center (Brgy. Asid),-,-,150000,150000,-,111250,111250,38750,-
Social Development Program,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Asid E/S,-,-,120000,120000,-,90750,90750,29250,-
Social Development Program,Buildings,Other Structures,Construction of Perimeter Fence at Bagumbayan Elementary School,-,-,80000,80000,-,59950,59950,20050,-
Social Development Program,Buildings,Other Structures,Construction of School Stage at Gov. Rafael Letada Memorial Elem. School (Brgy. Biyong),-,-,350000,350000,-,252000,252000,98000,-
Social Development Program,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Gov. Letada Elementary School (Brgy. Biyong),-,-,120000,120000,-,90750,90750,29250,-
Social Development Program,Buildings,Other Structures,"Repair of Day Care Center (Purok 2, Brgy. Cagay)",-,-,80000,80000,-,59150,59150,20850,-
Social Development Program,Buildings,Other Structures,Construction of Public Toilet (Brgy. F. Magallanes),-,-,200000,200000,-,146150,146150,53850,-
Social Development Program,Buildings,Other Structures,Construction of Perimeter Fence at AAES (Brgy. Kalipay),-,-,1400000,1400000,-,1381083.68,1381083.68,18916.32,-
Social Development Program,Buildings,Other Structures,Construction of Comfort Room at Mapifia Elementary School,-,-,120000,120000,-,90750,90750,29250,-
Social Development Program,Buildings,Other Structures,"Improvement of Day Care Center (Two-Storey Multi-Purpose Bldg., Brgy. Pating)",-,-,1200000,1200000,-,1174858.68,1174858.68,25141.32,-
Social Development Program,Buildings,Other Structures,Repair of Day Care Center at Sitio Calulod (Brgy. Pawa),-,-,120000,120000,-,90850,90850,29150,-
Social Development Program,Buildings,Other Structures,"Construction of Health Center (Purok Sampaguita, Brgy. Tugbo)",-,-,250000,250000,-,249320,249320,680,-
Social Development Program,Buildings,Other Structures,"Repair of Day Care Center (Purok Santan, Brgy. Tugbo)",-,-,120000,120000,-,90800,90800,29200,-
Social Development Program,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Tugbo E/S,-,-,120000,120000,-,91000,91000,29000,-
Social Development Program,Buildings,Other Structures,School Site Improvement (Brgy. Tugbo),-,-,500000,500000,-,381250,381250,118750,-
Social Development Program,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Usab E/S,-,-,120000,120000,-,90750,90750,29250,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits","Installation of 4-Units Jetmatic Pumps (Purok 1, 2, 4, & 7, Brgy. Asid)",-,-,90000,90000,-,65750,65750,24250,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Cawayan Exterior),-,-,30000,30000,-,30000,30000,-,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Shallow Wells (Brgy. Kinamaligan),-,-,75000,75000,-,75000,75000,-,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Wells (Brgy. Kinamaligan),-,-,40000,40000,-,40000,40000,-,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Water System (Brgy. Maingaran),-,-,30000,30000,-,22100,22100,7900,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Maingaran),-,-,30000,30000,-,18775,18775,11225,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Mapiiia),-,-,30000,30000,-,18775,18775,11225,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Shallow Wells (Brgy. Usab),-,-,150000,150000,-,104250,104250,45750,-
Social Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Ubungan Dacu),-,-,30000,30000,-,30000,30000,-,-
Economic Development Program,"Land, Land Improvement",Land,Solid Waste Processing Facility (Establishment of Sanitary Landfill),-,-,12000000,12000000,-,7441986,7441986,4558014,-
Economic Development Program,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Anas),-,-,600000,600000,-,600000,600000,-,-
Economic Development Program,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Centro),-,-,750000,750000,-,734519.98,734519.98,15480.02,-
Economic Development Program,Buildings,Office Buildings,Construction or Extension of 1-2 Storey Market Administrative Office (Brgy. Pating),-,-,650000,650000,-,493095,493095,156905,-
