development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_previous_years_appropriations,expenditures_current,total,balance,remarks
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. B.Titong),-,-,300000,300000,-,0,0,300000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Cawayan Exterior),-,-,500000,500000,-,0,0,500000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Cawayan Interior),-,-,300000,300000,-,0,0,300000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Acquisitin of Barangay Site and Lot Improvement (Brgy. Ubongan Dacu),-,-,500000,500000,-,0,0,500000,-
Social Development Program ,"Land, Land Improvement",Land Acquisition and Lot Improvement,Embankment of School Site (Brgy. Usab),-,-,500000,500000,-,-,0,500000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures","Additional Street Lights (Purok 1 and 2,Brgy. Cagay)",-,-,80000,80000,-,0,0,80000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. Espinosa),-,-,1000000,1000000,-,0,0,1000000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. F. Magallanes),-,-,320000,320000,-,0,0,320000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Installation of Street Light at Capitol Road and Almero Street (Brgy. Kalipay),-,-,180000,180000,-,0,0,180000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Installation of Street Light at Capitol Road and Almero Street (Brgy. Kalipay),-,-,300000,300000,-,0,0,300000,-
Social Development Program ,"Land, Land Improvement","Electrification, Power and Energy structures",Construction of Street Lights (Brgy. F. Maingaran),-,-,-,-,-,-,-,0,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL High School Building (Brgy. Bantigue),-,-,750000,750000,-,109964.09,109964.09,640035.91,-
Social Development Program ,Buildings,School Building,Construction of Two (2) Storey 4 CL Building Progressive Type (Brgy. Bolo),-,-,2100000,2100000,-,311168.8,311168.8,1788831.2,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Espinosa Elem. School (Brgy. Espinosa),-,-,750000,750000,-,109160.41,109160.41,640839.59,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Igang Elem. School (Brgy. Igang),-,-,750000,750000,-,109160.41,109160.41,640839.59,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 2 CL Building at Nursery High School (Brgy. Nursery),-,-,1500000,1500000,-,226587.31,226587.31,1273412.69,-
Social Development Program ,Buildings,School Building,Rehabilitation of Marcos Type School Building (Brgy. Sinalongan),-,-,250000,250000,-,0,0,250000,-
Social Development Program ,Buildings,-,-,-,-,-,-,-,-,-,-,-
Social Development Program ,Buildings,Other Structures,Renovation of Barangay Health Center (Brgy. Asid),-,-,150000,150000,-,0,383391.35,-233391.35,-
