particulars_1,particulars_2,particulars_3,particulars_4,amount
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,25926473.53
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,25926473.53
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Traveling Expenses - Local,24970
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Office Supplies Expense,20000
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Food Supplies Expense,3328720
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,"Gasoline, Oil and Lubricants Expenses",400000
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Representation Allowance,391240
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Subsidy to Local Government Units,343000
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Miscellaneous Expenses,125385.9
Less - Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Operating Expenses,Other Maintenance and Other Operating Expenses,195539
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Construction of Ext. of Multi-Purpose Hall - Brgy. Putian, Cuartero, Capiz",200000
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Construction of Ext. of Multi-Purpose Hall - Brgy. Maindang, Cuartero, Capiz",200000
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Proposed Completion of Evacuation Center - Brgy. Bungsuan, Dumarao, Capiz",1500000
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Proposed Completion of Evacuation Center - Poblacion, Pilar, Capiz",1500000
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Proposed Completion of Evacuation Center - Jamindan, Capiz",-
Less - Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,Disaster Response and Rescue Equipment,1144570
Less - Disbursements,Post-Disaster Programs,Maintenance and Operating Expenses,Traveling Expenses - Local,1200
Less - Disbursements,Post-Disaster Programs,Maintenance and Operating Expenses,Office Supplies Expense,-
Less - Disbursements,Post-Disaster Programs,Maintenance and Operating Expenses,"Gasoline, Oil and Lubricants Expenses",381961
Less - Disbursements,Post-Disaster Programs,Maintenance and Operating Expenses,Miscellaneous Expenses,83223
Less - Disbursements,Post-Disaster Programs,Maintenance and Operating Expenses,Representation Allowance,-
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Mambusao-Dumalag Provincial Road,1000000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Dacuton-Tina Provincial Road,800800
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Guintas-Mangoso-Pinamalatican Provincial Road,858400
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Malitbog-Katipunan Provincial Road,812800
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Malitbog-Gebioan Provincial Road,802950
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Proposed of Re-Gravelling of Malitbog-Gebioan Provincial Road,640050
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Concreting of Carataya Road, Cuartero, Capiz",1000000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Concreting of Brgy. Tuburan,Maayon, Capiz",1000000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Concreting of Brgy. Lunayan Road, Cuartero, Capiz",1000000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehab of Lucero-Palayan ng Bayan Provincial Road,801300
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Rehabilitation of Lonoy-Culasi Provincial Road, Sapian, Capiz",797100
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Consolatio-San Rafael Provincial Road,798000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Rehabilitation of Dumarao-Guinotos Provincial Road, Dumarao, Capiz",772500
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Janguslob-Calapawan Provincial Road,794000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Rehabilitation of Amaga-Acbo-Oyong Provincial Road,774950
Less - Disbursements,Post-Disaster Programs,Capital Outlay,"Construction of Cross Drainage, Tuburan, Maayon",230000
Less - Disbursements,Post-Disaster Programs,Capital Outlay,Re-Gravelling of Various Provincial Road,335500
Less - Disbursements,Payment Premiums on Calamity Insurance,Maintenance and Operating Expenses,Insurance Expense,-
Balance,Balance,Balance,Balance,2868314.28
