particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources,Current Appropriation,9305055,21711795,-,-,-,31016850
Sources,2012 Supplement Budget No. 1,-,26404818.5,-,-,-,26404818.5
Sources,Continuing Appropriation,-,41134237,-,-,-,41134237
Sources,Previous Year's Appropriation,-,-,-,-,-,-
Sources,Transferred to Special Trust Fund,-,-,-,-,-,-
Sources,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,-,9305055,89250850.5,-,-,-,98555905.5
Utilization,Purchase of DRRM Equipments,-,15922188,-,-,-,15922188
Utilization,Repair and Maintenance of DRRM Vehicles and Equipments,-,234757,-,-,-,234757
Utilization,Medicines and Medical Supplies,-,172210,-,-,-,172210
Utilization,"Food, Office and Other Supplies",-,254249.75,-,-,-,254249.75
Utilization,Internet or Telephone Landline and Mobiles,-,38850,-,-,-,38850
Utilization,DRRM Trainings and Seminars,-,253460,-,-,-,253460
Utilization,Transfers to other LGU's,450000,-,-,-,-,450000
Total Utilization,-,450000,16875714.75,-,-,-,17325714.75
